Effect List,Effect List,Effect,Effect,Effect,Effect,Effect,Effect,Effect,Effect,,,,,
;,486,,,,,,,,,,,,,
487,DBUFF_Inflammability,425,,,,,,,,,,,,
489,Fire Breath attack 2,426,,,,,,,,,,,,
490,BUFF_Burnout,427,,,,,,,,,,,,
491,AOE_Meteor Shower,428,,,,,,,,,,,,
492,BUFF_Flames of Rhuin,429,,,,,,,,,,,,
493,DBUF_ Distracting burst,430,,,,,,,,,,,,
494,Flame Spout,431,,,,,,,,,,,,
495,AOE_Powerburn,432,,,,,,,,,,,,
496,DBUF_Powerburn,433,,,,,,,,,,,,
497,PH_VFX And Buff,423,409,,,,,,,,,,,
498,PH_VFX And Debuff,423,405,,,,,,,,,,,
499,Full Staff Activate_Fire,434,,,,,,,,,,,,
500,Fireball Impact,435,,,,,,,,,,,,
501,Weight of Guilt Impact,436,,,,,,,,,,,,
502,Weight of Guilt Snare,437,,,,,,,,,,,,
503,Healing Hands,438,,,,,,,,,,,,
504,Warrior Priest Build Aura,439,348,,,,,,,,,,,
505,Warrior Priest Cast Light,440,,,,,,,,,,,,
506,WP_Impact_Smite,441,,,,,,,,,,,,
;,507,,,,,,,,,,,,,
508,WP_Impact_Wave_Righteousness,443,445,,,,,,,,,,,
509,Warrior Priest Group Heal,444,,,,,,,,,,,,
510,Warrior Priest Hammer Flare,446,,,,,,,,,,,,
511,BUFF_Prayer_Absolution,447,,,,,,,,,,,,
512,Raise_BreathofSigmar,448,,,,,,,,,,,,
513,Hammer Build Swing,449,,,,,,,,,,,,
514,Weapon_Trail_Holy,450,,,,,,,,,,,,
515,vfx_DeBuff_Harbringer,451,,,,,,,,,,,,
516,Dark Medicine,452,625,,,,,,,,,,,
517,Dark Cleansing,453,,,,,,,,,,,,
518,Mark of TzeetchesWill,454,,,,,,,,,,,,
519,Proj_Purple Potion,455,,,,,,,,,,,,
520,Weapon_Trail_Purple,456,,,,,,,,,,,,
521,Ritual Ring Blue,457,,,,,,,,,,,,
522,Ritual Ring Red,458,,,,,,,,,,,,
523,vfx_Invoke_orangefire,459,,,,,,,,,,,,
524,vfx_damage_Buff_Exhaustive,460,,,,,,,,,,,,
525,vfx_damage_DeBuff_Exhaustive,461,,,,,,,,,,,,
;,526,,,,,,,,,,,,,
527,DoT_Demon Spittle,463,,,,,,,,,,,,
528,Red Potion bottle,464,,,,,,,,,,,,
529,Ritual Heal ,465,,,,,,,,,,,,
530,Ritual Damage,466,,,,,,,,,,,,
531,Ritual Buff,467,,,,,,,,,,,,
532,Ritual Debuff,468,,,,,,,,,,,,
533,Mark of Darkness,469,,,,,,,,,,,,
534,Mark of Demonic Hero,470,,,,,,,,,,,,
;,535,,,,,,,,,,,,,
536,Tzeentch Energy Shield,472,,,,,,,,,,,,
537,Large Claw Slashes,473,,,,,,,,,,,,
538,LOOP Ritual Ring Blue,474,,,,,,,,,,,,
539,LOOP Ritual Ring Red,475,,,,,,,,,,,,
540,fetish_Buildup01,476,,,,,,,,,,,,
541,fetish_Cast01,477,,,,,,,,,,,,
542,Deamon_Spittle_Build,478,,,,,,,,,,,,
543,Deamon_Spittle,479,,,,,,,,,,,,
;,544,,,,,,,,,,,,,
;,545,,,,,,,,,,,,,
546,Flameshield impact,482,,,,,,,,,,,,
547,Zealot Res effect,483,,,,,,,,,,,,
548,Zealot Res effect Cast,484,,,,,,,,,,,,
549,RVR Orbiting Skull,485,,,,,,,,,,,,
550,RVR Objective Light and Skull,486,485,,,,,,,,,,,
551,RVR Dropped Skull,487,,,,,,,,,,,,
552,Magus Disk Effects,488,,,,,,,,,,,,
553,Chaos_Flash02_Orange,489,,,,,,,,,,,,
554,Lance projectile,490,,,,,,,,,,,,
555,Large Orc Head,491,,,,,,,,,,,,
556,DeBuff_Rust_Impact,492,,,,,,,,,,,,
;,557,,,,,,,,,,,,,
558,IMPACT_Blood Left to Right,494,,,,,,,,,,,,
559,IMPACT_Blue Ring Flash,495,,,,,,,,,,,,
560,IMPACT_Double Blue Ring Flash,496,,,,,,,,,,,,
561,IMPACT_Green Flash,497,,,,,,,,,,,,
562,IMPACT_Orange Knockback,498,,,,,,,,,,,,
563,IMPACT_Purple Flash,499,,,,,,,,,,,,
564,IMPACT_Red Flash,500,,,,,,,,,,,,
565,IMPACT_White Flash,501,,,,,,,,,,,,
566,Weapon Trail_Purple_Long,502,,,,,,,,,,,,
567,Shout Dirt Gust Behind,503,,,,,,,,,,,,
568,Shout Dirt Gust Front,504,,,,,,,,,,,,
569,Shout Mouth Cone and dust,516,504,,,,,,,,,,,
;,570,,,,,,,,,,,,,
;,571,,,,,,,,,,,,,
;,572,,,,,,,,,,,,,
573,Guard Defend,508,,,,,,,,,,,,
574,Guard Absorb,509,,,,,,,,,,,,
575,Snare_Break01,510,,,,,,,,,,,,
576,Target_Taunt02,511,,,,,,,,,,,,
577,Buff_Taunt02,512,,,,,,,,,,,,
578,AOE_Orcish Green,513,,,,,,,,,,,,
579,Blood knockdown,498,503,,,,,,,,,,,
580,SNARE_Orc,514,,,,,,,,,,,,
581,ROOT_Rocks,515,,,,,,,,,,,,
582,Dustring with Cracks,517,913,,,,,,,,,,,
583,WEAPONTRAIL_Green,518,,,,,,,,,,,,
584,Impact_Stars,519,,,,,,,,,,,,
585,CAST_Stomp,520,,,,,,,,,,,,
586,Impact_BigSmashin,521,,,,,,,,,,,,
587,Impact_Groin,522,,,,,,,,,,,,
588,Rock impact with blood,111,178,,,,,,,,,,,
589,Waagh Status remove,523,,,,,,,,,,,,
590,Tester0001,533,,,,,,,,,,,,
591,PROJ_Bullet_Dark,525,,,,,,,,,,,,
592,Explo_Landmine,526,,,,,,,,,,,,
593,buildup_ground,527,,,,,,,,,,,,
594,Large Rune AoE Blue - TEST Ground,528,,,,,,,,,,,,
595,CAST_Halt_Ring_LifeRune,531,,,,,,,,,,,,
596,CAST_Runering&Light,532,,,,,,,,,,,,
597,HEAL Heal Over time,533,,,,,,,,,,,,
598,HEAL Light no Rune,534,306,,,,,,,,,,,
599,AOE Healing Light Decal,535,,,,,,,,,,,,
600,CAST_HALT_Rune_Striking,536,537,,,,,,,,,,,
601,Lightning Strike ,538,,,,,,,,,,,,
603,CAST_Halt_FireRing&Rune,539,434,,,,,,,,,,,
604,Sundering Fissure ,540,,,,,,,,,,,,
605,rune_Sbinding,541,,,,,,,,,,,,
606,rune_Smiting,542,,,,,,,,,,,,
607,rune_adamant,543,,,,,,,,,,,,
608,buildup_ring01,544,,,,,,,,,,,,
609,buildup_ring02,545,,,,,,,,,,,,
610,buildup_ring03,546,,,,,,,,,,,,
611,AOE_Rune of Striking,547,,,,,,,,,,,,
612,Single lightning Strike(For AoE),548,,,,,,,,,,,,
613,ROOT Rune Electric,549,,,,,,,,,,,,
614,GUARD_DW_Absorb,550,,,,,,,,,,,,
615,GUARD_DW_Defense,551,,,,,,,,,,,,
616,Defense Buff DW,552,,,,,,,,,,,,
617,Halt Ring no Rune,529,,,,,,,,,,,,
618,IMPACT_Large Blood Impact,553,,,,,,,,,,,,
619,Dispel Movement Impairment,554,,,,,,,,,,,,
620,STANCE_Inspiration,555,,,,,,,,,,,,
621,STANCE_Stone,556,,,,,,,,,,,,
622,STANCE_Obstruction,557,,,,,,,,,,,,
623,Dwarf Status Removal,558,,,,,,,,,,,,
624,SNARE_Dwarf Snare,559,,,,,,,,,,,,
625,IMPACT_Shield bash,560,,,,,,,,,,,,
626,WEAPONTRAIL_Blue,561,,,,,,,,,,,,
627,ROOT DW Rocks,562,,,,,,,,,,,,
628,IMPACT with Silence,499,321,,,,,,,,,,,
629,HEAL_Orc Heal over time,563,,,,,,,,,,,,
630,HEAL_Orc Basic Heal,564,,,,,,,,,,,,
631,Impact_DebtSmash,565,,,,,,,,,,,,
632,IMPACT_Shatter Sparks,567,,,,,,,,,,,,
633,IMPACT_Orange Blue,567,566,,,,,,,,,,,
634,RUNE_SpellBreak(eater),529,568,531,,,,,,,,,,
635,CONE_Melee Swipe Cone,569,,,,,,,,,,,,
636,Blood from foot,570,,,,,,,,,,,,
637,Dustring,571,,,,,,,,,,,,
638,Orc Defense Buff 2,572,,,,,,,,,,,,
639,Shout Spittle,516,,,,,,,,,,,,
640,Gunblast_small,573,,,,,,,,,,,,
641,RUNE_Capability_Use,574,,,,,,,,,,,,
642,RUNE_Fury_Use,575,,,,,,,,,,,,
643,RUNE_Rebirth_Use,576,,,,,,,,,,,,
644,RUNE_Sanctuary_Use,577,,,,,,,,,,,,
;,645,,,,,,,,,,,,,
646,Impact_Nitro,579,,,,,,,,,,,,
647,Atk_Nitro,580,,,,,,,,,,,,
648,Impact_oil,581,,,,,,,,,,,,
649,Ground_oil,582,,,,,,,,,,,,
;,650,,,,,,,,,,,,,
651,CAST_Mortar Fire,584,,,,,,,,,,,,
652,IMPACT_Mortar Impact,585,914,,,,,,,,,,,
;,653,,,,,,,,,,,,,
654,IMPACT_Poison Gas,587,,,,,,,,,,,,
;,655,,,,,,,,,,,,,
656,RVR_Objective light Red,589,,,,,,,,,,,,
657,RVR_Bomb Dropped,590,,,,,,,,,,,,
658,RVR_Murderball Damage,591,,,,,,,,,,,,
659,RVR_Bomb Explosion,28,592,,,,,,,,,,,
;,660,,,,,,,,,,,,,
661,Holy Cone Swipe Attack,594,,,,,,,,,,,,
662,AOE Prayer Light,595,,,,,,,,,,,,
;,663,,,,,,,,,,,,,
664,AOE Prayer Light Blue,597,,,,,,,,,,,,
;,665,,,,,,,,,,,,,
666,AOE Prayer Light Green,599,,,,,,,,,,,,
667,BUFF Prayer Light Received Green,600,,,,,,,,,,,,
668,Shout Spittle,601,,,,,,,,,,,,
669,BUFF Prayer Light Received Gold,602,,,,,,,,,,,,
;,670,,,,,,,,,,,,,
;,671,,,,,,,,,,,,,
672,Disk Effect Speed Boost,605,,,,,,,,,,,,
673,Disk Effect Dark Energy,606,,,,,,,,,,,,
674,TEST DECAL NO ANIM,607,,,,,,,,,,,,
;,675,,,,,,,,,,,,,
;,676,,,,,,,,,,,,,
;,677,,,,,,,,,,,,,
;,678,,,,,,,,,,,,,
679,Warping blast,244,498,119,,,,,,,,,,
680,Indigo fire,611,,,,,,,,,,,,
681,Invoke_bluefire,612,,,,,,,,,,,,
;,682,,,,,,,,,,,,,
683,Invoke_yellowfire,614,,,,,,,,,,,,
684,Pulse Heal ,617,,,,,,,,,,,,
685,Disk Effect Knockback,615,,,,,,,,,,,,
686,IMPACT Electric,616,,,,,,,,,,,,
687,AOE Ritual Ring Purple,618,2806,,,,,,,,,,,
688,AOE Ritual Ring Red,619,2807,,,,,,,,,,,
689,AOE Ritual Ring BlueGreen,620,2804,,,,,,,,,,,
690,AOE Ritual Ring Orange,621,2805,,,,,,,,,,,
;,691,,,,,,,,,,,,,
692,HEAL_Zealot Heal over time,623,625,,,,,,,,,,,
693,HEAL_PULSE_Zealot heal over time,624,,,,,,,,,,,,
694,DBUFF_Ritual Armor,626,,,,,,,,,,,,
695,DBUFF_Ritual Resistance,627,,,,,,,,,,,,
696,DBUFF_Ritual Willpower/Initiative,628,,,,,,,,,,,,
697,Mark_Vortex,629,,,,,,,,,,,,
698,Tze_warping,630,,,,,,,,,,,,
699,AOE Zealot Dust Heal,631,,,,,,,,,,,,
;,jerOFlameTrail2,700,,,,,,,,,,,,
701,PH_Buildup,702,,,,,,,,,,,,
702,PH_Activate,703,,,,,,,,,,,,
703,PH_Casting,704,,,,,,,,,,,,
704,PH_Projectile,705,,,,,,,,,,,,
705,PH_Impact,706,,,,,,,,,,,,
706,PH_AOE,707,,,,,,,,,,,,
707,PH_Looping,708,,,,,,,,,,,,
708,TEST_PROP_Opening Book,711,,,,,,,,,,,,
709,jerO,,,,,,,,,,,,,
710,Chaos Heal No BottleCloud,452,,,,,,,,,,,,
711,Medium Bottle heal ,452,351,625,,,,,,,,,,
712,IMPACT_Warping Blast,639,,,,,,,,,,,,
713,ROOT_Tentacle Loop,640,,,,,,,,,,,,
;,714,,,,,,,,,,,,,
715,SCEN_DirtDig,642,,,,,,,,,,,,
716,SCEN_GyrocopterExploding,643,,,,,,,,,,,,
717,SCEN_BarrelBreaking,644,,,,,,,,,,,,
718,AOE Ritual Ring BlueGreen,645,,,,,,,,,,,,
719,AOE Ritual Ring Orange,646,,,,,,,,,,,,
720,AOE Ritual Ring Red,647,,,,,,,,,,,,
721,AOE Ritual Ring Purple,648,,,,,,,,,,,,
722,rune_Sbinding_pulse,649,,,,,,,,,,,,
723,rune_Smiting_pulse,650,,,,,,,,,,,,
724,rune_adamant_pulse,651,,,,,,,,,,,,
725,CAST_EM_Flash,652,,,,,,,,,,,,
726,AOE_BOSS_Blood Wrath,653,,,,,,,,,,,,
727,CONE_BOSS_War Sunder,654,,,,,,,,,,,,
728,STAT_Infectious Rage,655,,,,,,,,,,,,
729,STAT_Terror,656,,,,,,,,,,,,
730,CONE_BOSS_Skull Cleave,657,,,,,,,,,,,,
731,STAT_IMPACT_Bleed,658,,,,,,,,,,,,
732,vfx_Weapontrail_Flame,659,,,,,,,,,,,,
733,impact_Vomit,660,,,,,,,,,,,,
734,CONE_Vomit,661,,,,,,,,,,,,
735,PROJ_Vomit,662,,,,,,,,,,,,
736,ground_Vomit,663,,,,,,,,,,,,
737,ATT_stalag,664,,,,,,,,,,,,
738,ATT_Chomper,665,,,,,,,,,,,,
739,ATT_shart,666,,,,,,,,,,,,
740,NPC_ICON_Guild,667,,,,,,,,,,,,
741,NPC_ICON_InfluenceGray,668,,,,,,,,,,,,
742,NPC_ICON_KillCollectGray,669,,,,,,,,,,,,
743,NPC_ICON_Librarian,670,,,,,,,,,,,,
744,NPC_ICON_Scenario,671,,,,,,,,,,,,
745,NPC_ICON_Trainer,672,,,,,,,,,,,,
746,NPC_ICON_Vault,673,,,,,,,,,,,,
747,NPC_ICON_Auction,674,,,,,,,,,,,,
748,NPC_ICON_BountyGold,675,,,,,,,,,,,,
749,NPC_ICON_BountyGray,676,,,,,,,,,,,,
750,NPC_ICON_BountyGreen,677,,,,,,,,,,,,
751,ATK_Ripost,678,,,,,,,,,,,,
752,BUFF_CritUpChance,679,,,,,,,,,,,,
753,BUFF_DefenseKnight,680,,,,,,,,,,,,
754,BUFF_ResistanceKnight,681,,,,,,,,,,,,
755,BUFF_RootBreak,682,,,,,,,,,,,,
756,BUFF_ParryUpChance,683,,,,,,,,,,,,
757,AOE_COMMAND_DamageUP,684,,,,,,,,,,,,
758,AOE_COMMAND_DefenseUP,685,,,,,,,,,,,,
759,AOE_COMMAND_MoralUP,686,,,,,,,,,,,,
760,AOE_COMMAND_ResistanceUP,687,,,,,,,,,,,,
761,AOE_COMMAND_MoveSpeedUP,688,,,,,,,,,,,,
762,IMPACT_UnbalancingBlow,689,,,,,,,,,,,,
763,ROOT_Knight_Chains,690,,,,,,,,,,,,
764,CONE_KnightSwipe,691,,,,,,,,,,,,
765,HEAL_Tactic,692,,,,,,,,,,,,
766,BUFF_Tactic_DefenseUp,693,,,,,,,,,,,,
767,IMPACT_Tactic_AddHit,694,,,,,,,,,,,,
768,BUFF_Tactic_AP_Restore,695,,,,,,,,,,,,
769,BUFF_MeleeActivate,696,,,,,,,,,,,,
770,Debuff strenght / weapon skill,252,200,119,,,,,,,,,,
771,Oath Rune Obtain Fury,313,697,,,,,,,,,,,
772,Oath Rune Obtain Healing,313,698,,,,,,,,,,,
773,Oath Rune Obtain Rebirth,313,699,,,,,,,,,,,
774,Oath Rune Obtain Capability,313,713,,,,,,,,,,,
775,AOE energy,646,90,,,,,,,,,,,
776,BUFF immune,268,270,271,,,,,,,,,,
777,DeBUFF Int / AP / multi,80,119,208,,,,,,,,,,
778,AOE wind effect,355,,,,,,,,,,,,
;,779,,,,,,,,,,,,,
780,HEAL_Empire_HealoverTime,715,,,,,,,,,,,,
781,CAST_Empire_MoralAbility,716,,,,,,,,,,,,
782,DEBUFF_MoralLoss,717,,,,,,,,,,,,
783,BUFF_MoralGain,718,,,,,,,,,,,,
784,DECAL_GrowingGroundGlow,719,,,,,,,,,,,,
785,PtoP_WarpLightning,721,732,733,,,,,,,,,,
786,heal + AP heal,695,352,350,,,,,,,,,,
;,787,,,,,,,,,,,,,
788,PtoP_DarkEnery1,723,,,,,,,,,,,,
789,PtoP_ChEnergy,724,,,,,,,,,,,,
790,PtoP_ChEnergy_Impact,725,,,,,,,,,,,,
791,PtoP_quickshot_Impact,726,,,,,,,,,,,,
;,792,,,,,,,,,,,,,
793,PROJ_Quest_FlyingSpirit,728,,,,,,,,,,,,
;,794,,,,,,,,,,,,,
;,795,,,,,,,,,,,,,
;,796,,,,,,,,,,,,,
;,797,,,,,,,,,,,,,
798,vfx_Weapontrail_Sunlight,742,,,,,,,,,,,,
799,IMPACT_Glorious Assault,743,,,,,,,,,,,,
800,BUFF_CommandResist,744,,,,,,,,,,,,
801,BUFF_CommandSpeed,745,,,,,,,,,,,,
802,BUFF_CommandDamage,746,,,,,,,,,,,,
803,BUFF_CommandDefense,747,,,,,,,,,,,,
804,BUFF_CommandMoral,748,,,,,,,,,,,,
805,AOE_Chosen_FearAura,749,,,,,,,,,,,,
;,806,,,,,,,,,,,,,
807,AOE_Chosen_AttackAura,751,,,,,,,,,,,,
808,DEBUFF_ChosenFear,752,,,,,,,,,,,,
809,BUFF_ChosenRage,753,764,,,,,,,,,,,
;,810,,,,,,,,,,,,,
;,811,,,,,,,,,,,,,
812,IMPACT_Chaos01,756,,,,,,,,,,,,
813,IMPACT_Chaos02,757,,,,,,,,,,,,
814,IMPACT_Chaos03,758,,,,,,,,,,,,
815,IMPACT_Chaos04,759,,,,,,,,,,,,
816,DEBUFF_Darkness01,760,,,,,,,,,,,,
;,817,,,,,,,,,,,,,
818,BUFF_GaurdKnight,762,,,,,,,,,,,,
819,DBUF_GuardKnight,763,,,,,,,,,,,,
820,FIGURE_DBUF_PetrifyStone,768,,,,,,,,,,,,
;,821,,,,,,,,,,,,,
822,AOE_Chosen_WitheringAura,770,,,,,,,,,,,,
;,823,,,,,,,,,,,,,
824,FIGURE_DBUF_Purple02,767,,,,,,,,,,,,
;,825,,,,,,,,,,,,,
826,CONE_ATK_Chosen_Quake,772,,,,,,,,,,,,
827,AOE_ATK_Chosen_Eruption,773,,,,,,,,,,,,
828,vfx_Cast_Chosen01,774,,,,,,,,,,,,
;,829,,,,,,,,,,,,,
830,vfx_Impact_Chosen01,776,499,,,,,,,,,,,
831,vfx_Impact_Chosenfire01,777,,,,,,,,,,,,
;,832,,,,,,,,,,,,,
;,833,,,,,,,,,,,,,
;,834,,,,,,,,,,,,,
835,vfx_ground_Vomit_NoLoop,778,,,,,,,,,,,,
836,vfx_damage_Buff_Elix_IP,779,,,,,,,,,,,,
837,vfx_damage_DeBuff_Elix_IP01,780,,,,,,,,,,,,
838,vfx_DBUF_ChSnare01,781,,,,,,,,,,,,
839,vfx_impact_WitchElf01,782,,,,,,,,,,,,
840,IMPACT_DE_Impact01,783,,,,,,,,,,,,
841,IMPACT_DE_Slash,784,,,,,,,,,,,,
842,PROC_Poison Dagger,785,1096,,,,,,,,,,,
843,IMPACT_PheonixClaw,786,,,,,,,,,,,,
844,IMPACT_HE_Lightraysimpact,787,,,,,,,,,,,,
;,845,,,,,,,,,,,,,
846,IMPACT_DEBUF_DarkPoison,783,765,,,,,,,,,,,
847,vfx_Weapontrail_ElfBlue,789,,,,,,,,,,,,
;,848,,,,,,,,,,,,,
849,vfx_block_HighElf01,791,,,,,,,,,,,,
850,vfx_wallDS_HighElf01,792,,,,,,,,,,,,
851,vfx_CAE_impact_HighElf01,793,,,,,,,,,,,,
852,vfx_CAE_HighElf01,794,,,,,,,,,,,,
853,PBAOE detaunt,432,884,140,,,,,,,,,,
;,854,,,,,,,,,,,,,
;,855,,,,,,,,,,,,,
;,856,,,,,,,,,,,,,
;,857,,,,,,,,,,,,,
;,858,,,,,,,,,,,,,
;,859,,,,,,,,,,,,,
;,860,,,,,,,,,,,,,
861,Impact_Mar04,802,,,,,,,,,,,,
862,Impact_Mar05,803,,,,,,,,,,,,
;,863,,,,,,,,,,,,,
864,CONTENT_AMB_TrainStacks,805,,,,,,,,,,,,
865,CONTENT_AMB_TrainSteamJets,806,,,,,,,,,,,,
866,IMPACT_WH_Impact01,807,,,,,,,,,,,,
867,IMPACT_WH_PierceImpact,808,,,,,,,,,,,,
868,IMPACT_WH_SlashImpact,809,,,,,,,,,,,,
869,IMPACT_WH_BasicGunImpact,810,,,,,,,,,,,,
870,MUZZLE_GUN_WH_Basic,811,,,,,,,,,,,,
;,871,,,,,,,,,,,,,
872,DEBUFF_IMPACT_WH_GreenMovement,813,,,,,,,,,,,,
873,DEBUFF_IMPACT_WH_RedDoT,814,,,,,,,,,,,,
874,MUZZLE_GUN_WH_MagicBluePurp,815,,,,,,,,,,,,
;,875,,,,,,,,,,,,,
876,MUZZLE_GUN_WH_MagicOrange,817,,,,,,,,,,,,
877,IMPACT_WH_SpecialGunImpact,818,,,,,,,,,,,,
878,MUZZLE_GUN_WH_Special,819,,,,,,,,,,,,
879,IMPACT_WH_Impact02_head,820,,,,,,,,,,,,
880,IMPACT_WH_Impact03,821,,,,,,,,,,,,
881,vfx_Weapontrail_WHBlueWhite,822,,,,,,,,,,,,
882,BUFF_Detaunt Aura,823,,,,,,,,,,,,
883,detaunt_Horror,824,825,,,,,,,,,,,
884,Debuff_DeTaunt01,826,,,,,,,,,,,,
885,DEBUFF_WH_SilenceSeal,827,820,,,,,,,,,,,
886,buff_Uncon_Warp_Heal,828,,,,,,,,,,,,
;,887,,,,,,,,,,,,,
;,888,,,,,,,,,,,,,
889,PROJ_WH_BluPurpBullet,831,,,,,,,,,,,,
890,DEBUFF_IMPACT_WeaponsofPurging,717,694,,,,,,,,,,,
891,FIG_Cast_Corrupt,832,,,,,,,,,,,,
892,FIG_DeBUFF_Corrupt,833,803,,,,,,,,,,,
893,BUFF_WH_BlessedWeapon01,834,,,,,,,,,,,,
894,BUFF_WH_BlessedWeapon02,836,,,,,,,,,,,,
895,BUFF_WH_RelicCast01,837,,,,,,,,,,,,
896,BUFF_WH_RelicCast02,838,,,,,,,,,,,,
897,BUFF_WH_RelicCast03,839,,,,,,,,,,,,
898,Shout_CH,840,,,,,,,,,,,,
899,BUFF_speed_CH,841,,,,,,,,,,,,
;,900,,,,,,,,,,,,,
;,901,,,,,,,,,,,,,
902,cast_rend01,844,,,,,,,,,,,,
;,903,,,,,,,,,,,,,
904,PROJ_Flaming Skull,845,,,,,,,,,,,,
;,905,,,,,,,,,,,,,
906,vfx_WeaponTrail_Nature1,847,,,,,,,,,,,,
;,907,,,,,,,,,,,,,
908,cast_rend02,850,914,,,,,,,,,,,
909,Shout_Tounge01,851,,,,,,,,,,,,
910,BUFF_Heaven Sword Enchant,852,,,,,,,,,,,,
911,BUFF_Nature Sword Enchant,853,,,,,,,,,,,,
912,BUFF_Spirit Sword Enchant,854,,,,,,,,,,,,
913,BUFF_LOOP_Heaven Sword Enchant,855,,,,,,,,,,,,
914,BUFF_LOOP_Spirit Sword Enchant,856,,,,,,,,,,,,
915,BUFF_LOOP_Nature Sword Enchant,857,,,,,,,,,,,,
916,IMPACT_HE_DragonTalon,858,,,,,,,,,,,,
917,IMPACT_HE_Interrupt,859,,,,,,,,,,,,
918,IMPACT_HE_WhisperingWind,860,,,,,,,,,,,,
919,IMPACT_HE_Low Slash with Debuff,861,864,,,,,,,,,,,
920,IMPACT_HE_Nature Impact,862,,,,,,,,,,,,
921,IMPACT_HE_Spirit Impact,863,,,,,,,,,,,,
922,IMPACT_HE_DisorientingFlash,865,,,,,,,,,,,,
923,DEBUFF_HE_AttackDown,866,,,,,,,,,,,,
924,IMPACT_Sapping Strike,867,868,,,,,,,,,,,
925,DEBUFF_HE_APLoss,868,,,,,,,,,,,,
926,CAST_SwipeWhisperingWind,869,,,,,,,,,,,,
927,impact_ThroatSlit,870,,,,,,,,,,,,
928,speed_Buff_Elix_MS,871,,,,,,,,,,,,
929,AP_DeBuff_Elix_Cal,872,,,,,,,,,,,,
930,AP_Buff_Elix_Cal,873,,,,,,,,,,,,
;,931,,,,,,,,,,,,,
932,wpn_PoisonDagger_WP,875,918,1094,,,,,,,,,,
933,wpn_PoisonDagger_BP,876,1095,,,,,,,,,,,
934,BUFF_HE_SnareBreak,877,,,,,,,,,,,,
935,BUFF_HE_PerfectBalance,878,,,,,,,,,,,,
936,DBUFF_HE_EtherialRoot,879,,,,,,,,,,,,
937,impact_impale_pierce,880,881,,,,,,,,,,,
938,vfx_WeaponTrail_UnHoly,882,,,,,,,,,,,,
939,REF_TargetingRangeRings,883,,,,,,,,,,,,
940,CAST_HE_EtherialRootCast,884,,,,,,,,,,,,
941,ATK_Mar_Demolition,896,849,,,,,,,,,,,
942,vfx_Weapontrail_Heavens2,885,,,,,,,,,,,,
943,vfx_Weapontrail_Nature1,886,,,,,,,,,,,,
944,vfx_Weapontrail_PhantomsOne,887,,,,,,,,,,,,
945,BUFF_HE_BalanceUp,888,,,,,,,,,,,,
946,BUFF_HE_StrengthWSUp,889,,,,,,,,,,,,
947,CAST_HE_Moral,890,,,,,,,,,,,,
948,PROJ_Dagger,891,,,,,,,,,,,,
949,apply_poison_WP,892,,,,,,,,,,,,
950,apply_poison_BP,893,,,,,,,,,,,,
951,apply_poison_DP,894,,,,,,,,,,,,
;,952,,,,,,,,,,,,,
953,IMPACT_WE_blight1,897,,,,,,,,,,,,
954,IMPACT_WE_DefaultPurp1,898,,,,,,,,,,,,
955,IMPACT_WE_DefaultRed1,899,,,,,,,,,,,,
956,IMPACT_WE_purpLotus1,900,,,,,,,,,,,,
;,957,,,,,,,,,,,,,
958,IMPACT_WE_RedPurpFlash1,902,,,,,,,,,,,,
959,IMPACT_WE_RedPurpShock1,903,,,,,,,,,,,,
;,960,,,,,,,,,,,,,
961,AOE_Mar_Mut01,905,,,,,,,,,,,,
962,DEBUFF_Mesmerize_Recieved,906,,,,,,,,,,,,
963,DEBUFF_Mesmerize_Status,907,,,,,,,,,,,,
964,CAST_Mesmerize_Cast,908,,,,,,,,,,,,
;,965,,,,,,,,,,,,,
;,966,,,,,,,,,,,,,
;,967,,,,,,,,,,,,,
968,CAMERASHAKE_Subtle,912,,,,,,,,,,,,
969,CAMERASHAKE_Small,913,,,,,,,,,,,,
970,CAMERASHAKE_Large,914,,,,,,,,,,,,
971,CAMERASHAKE_Gigantic,915,,,,,,,,,,,,
;,972,,,,,,,,,,,,,
973,vfx_Weapontrail_DElfDagger_Both trails,917,790,,,,,,,,,,,
974,ROOT_GraspoftheDead,919,912,,,,,,,,,,,
975,Impact_MutClaw01,920,,,,,,,,,,,,
976,Impact_MutClaw02,921,,,,,,,,,,,,
977,BUFF_HE_ShieldAttack,922,,,,,,,,,,,,
978,ATTACK_HE_CrashingWave,923,,,,,,,,,,,,
979,Large Lightbeam stretching into the sky RVR,486,,,,,,,,,,,,
980,CONE_ATK_GutRipper,924,,,,,,,,,,,,
981,FIG_DeBUFF_speed_CH,925,,,,,,,,,,,,
;,982,,,,,,,,,,,,,
983,DeBUFF_HE_Defense01,2370,,,,,,,,,,,,
984,ATTACK_HE_ShieldSwipe,930,,,,,,,,,,,,
985,BUFF_HE_DefenseShield,931,,,,,,,,,,,,
986,MOR_DimInsta_and FIG,932,933,,,,,,,,,,,
987,MOR_GreatFang,934,,,,,,,,,,,,
988,MOR_aoe_WarpFrenzy,935,,,,,,,,,,,,
989,AOE_HE_MagicVortex,936,,,,,,,,,,,,
990,IMPACT_HE_Vortex,937,,,,,,,,,,,,
991,MEZ_LOOP_RavensBite,938,,,,,,,,,,,,
992,PROJ_ORC_LifeDrainOrb,939,,,,,,,,,,,,
993,ATK_ORC_LifeLeaka,940,,,,,,,,,,,,
