Information,,NIF,Effect,Effect List
985,WORLD OBJ qi_ge_invisiblebox,qi_ge_invisiblebox,,
986,WORLD OBJ vfx_SCN_LandSlide_static,vfx_SCN_LandSlide_static,,
987,WORLD OBJ vfx_SCN_LandSlide_anim,vfx_SCN_LandSlide_anim,,
988,WORLD OBJ qi_dw_heads_empty,qi_dw_heads_empty,,
989,WORLD OBJ QI_dw_tent_destroyed01,QI_dw_tent_destroyed01,,
990,WORLD OBJ qi_go_lobber01_destroyed,qi_go_lobber01_destroyed,,
991,WORLD OBJ qi_go_lobber01,qi_go_lobber01,,
992,WORLD OBJ qi_go_lobber01_destroyed_smoke,qi_go_lobber01_destroyed_smoke,,
993,WORLD OBJ qi_dw_scity_forgedoor01,qi_dw_scity_forgedoor01,,
994,WORLD OBJ dw_plaque01,dw_plaque01,,
995,WORLD OBJ dw_piping_12,dw_piping_12,,
996,WORLD OBJ dw_piping_12_anim,dw_piping_12_anim,,
997,WORLD OBJ qi_ge_bonepiece10,qi_ge_bonepiece10,,
998,WORLD OBJ vfx_SCN_LandSlide_anim_final,vfx_SCN_LandSlide_anim_final,,
999,WORLD OBJ dw_scity_helga01,dw_scity_helga01,,
1000,WORLD OBJ ch_prop_light_candlestick01,ch_prop_light_candlestick01,,
1001,WORLD OBJ qi_ge_standingMirror01,qi_ge_standingMirror01,,
1002,WORLD OBJ qi_ge_standingMirror02,qi_ge_standingMirror02,,
1003,WORLD OBJ em_proc_post_01,em_proc_post_01,,
1004,WORLD OBJ ge_prop_bedroll,ge_prop_bedroll,,
1005,WORLD OBJ qi_em_wineJar,qi_em_wineJar,,
1006,WORLD OBJ qi_em_wineJar_open,qi_em_wineJar_open,,
1007,WORLD OBJ or_tree_beards_burning,or_tree_beards_burning,,
1008,WORLD OBJ qi_mo_tower01_pillar,qi_mo_tower01_pillar,,
1009,WORLD OBJ qi_mo_tower01_pillar_destroyed,qi_mo_tower01_pillar_destroyed,,
1010,WORLD OBJ qi_ge_ritualistic_circle01,qi_ge_ritualistic_circle01,,
1011,WORLD OBJ qi_ge_ritualistic_circle02,qi_ge_ritualistic_circle02,,
1012,WORLD OBJ qi_ch_khornealtar,qi_ch_khornealtar,,
1013,WORLD OBJ qi_ch_chaosaxed,qi_ch_chaosaxed,,
1014,WORLD OBJ qi_ch_prism01,qi_ch_prism01,,
1015,WORLD OBJ qi_ch_markofkhorne,qi_ch_markofkhorne,,
1016,WORLD OBJ qi_dw_prop_beerbarrel01,qi_dw_prop_beerbarrel01,,
1017,WORLD OBJ qi_dw_prop_beerbarrel02,qi_dw_prop_beerbarrel02,,
1018,WORLD OBJ qi_dw_prop_beerbarrel03,qi_dw_prop_beerbarrel03,,
1019,WORLD OBJ qi_dw_prop_beerbarrel04,qi_dw_prop_beerbarrel04,,
1020,WORLD OBJ qi_ch_brasspike,qi_ch_brasspike,,
1021,WORLD OBJ qi_sk_banner,qi_sk_banner,,
1022,WORLD OBJ qi_ch_powercrystalblue,qi_ch_powercrystalblue,,
1023,WORLD OBJ qi_ch_powercrystalred,qi_ch_powercrystalred,,
1024,WORLD OBJ qi_dw_markofgrimnir,qi_dw_markofgrimnir,,
1025,WORLD OBJ qi_em_slaaneshacc,qi_em_slaaneshacc,,
1026,WORLD OBJ qi_dw_grune,qi_dw_grune,,
1027,Cre_Bloodthirster_1H_Axe_01,Cre_Bloodthirster_1H_Axe_01,,
1028,WORLD OBJ qi_ch_bloodicon,qi_ch_bloodicon,,
1029,WORLD OBJ qi_ch_twistedshrine,qi_ch_twistedshrine,,
1030,WORLD OBJ vfx_dirtdig,vfx_dirtdig,,
1031,WORLD OBJ vfx_qi_barrel_breaking01,vfx_qi_barrel_breaking01,,
1032,WORLD OBJ vfx_dw_gyrocopter_exploding,vfx_dw_gyrocopter_exploding,,
1033,WORLD OBJ dw_mining_equip05_leaking,dw_mining_equip05_leaking,,
1034,WORLD OBJ em_arch_target,em_arch_target,,
1035,WORLD OBJ qi_ch_bookpile,qi_ch_bookpile,,
1036,WORLD OBJ qi_ch_bookpile_burning,qi_ch_bookpile_burning,,
1037,WORLD OBJ ge_tent01_medium_burning,ge_tent01_medium_burning,,
1038,WORLD OBJ qi_ch_swordshard,qi_ch_swordshard,,
1039,WORLD OBJ qi_ch_bs_pedestal_skull,qi_ch_bs_pedestal_skull,,
1040,WORLD OBJ qi_ch_bs_pedestal_noskull,qi_ch_bs_pedestal_noskull,,
1041,WORLD OBJ dw_strategytable01_groupscrolls,dw_strategytable01_groupscrolls,,
1042,WORLD OBJ qi_mo_artifact01_chunk,qi_mo_artifact01_chunk,,
1043,WORLD OBJ ch_prop_table02,ch_prop_table02,,
1044,WORLD OBJ em_roadsign03,em_roadsign03,,
1045,WORLD OBJ qi_em_skiff01,qi_em_skiff01,,
1046,WORLD OBJ qi_go_dead_beard_01,qi_go_dead_beard_01,,
1047,WORLD OBJ qi_dw_tm_landmark02_beam01 ,qi_dw_tm_landmark02_beam01,,
1048,WORLD OBJ qi_dw_tm_landmark02_beam02,qi_dw_tm_landmark02_beam02,,
1049,WORLD OBJ qi_treeCut_state01,qi_treeCut_state01,,
1050,WORLD OBJ qi_treeCut_state02,qi_treeCut_state02,,
1051,WORLD OBJ qi_treeCut_state03,qi_treeCut_state03,,
1052,WORLD OBJ qi_treeCut_state04,qi_treeCut_state04,,
1053,WORLD OBJ qi_treeCut_state05,qi_treeCut_state05,,
1054,WORLD OBJ qi_treeCut_obj,qi_treeCut_obj,,
1055,WORLD OBJ qi_em_courier_pouch01,qi_em_courier_pouch01,,
1056,WORLD OBJ qi_ch_worm_tooth01,qi_ch_worm_tooth01,,
1057,WORLD OBJ ch_prop_food_cup01,ch_prop_food_cup01,,
1058,WORLD OBJ qi_ch_demonFinger,qi_ch_demonFinger,,
1059,WORLD OBJ qi_ch_phylactery01_off,qi_ch_phylactery01_off,,
1060,WORLD OBJ qi_ch_phylactery01_on,qi_ch_phylactery01_on,,
1061,WORLD OBJ qi_ch_phylactery01_broken,qi_ch_phylactery01_broken,,
1062,WORLD OBJ qi_sk_trap01,qi_sk_trap01,,
1063,WORLD OBJ em_praag_lantern03,em_praag_lantern03,,
1064,WORLD OBJ qi_he_pedestal01,qi_he_pedestal01,,
1065,WORLD OBJ em_city_lantern_off,em_city_lantern_off,,
1066,WORLD OBJ qi_monestary_sigmarPlaque03,qi_monestary_sigmarPlaque03,,
1067,WORLD OBJ qi_monestary_sigmarPlaque02,qi_monestary_sigmarPlaque02,,
1068,WORLD OBJ qi_monestary_sigmarPlaque01,qi_monestary_sigmarPlaque01,,
1069,WORLD OBJ qi_he_orb01,qi_he_orb01,,
1070,WORLD OBJ de_siege_boltthrower01,de_siege_boltthrower01,,
1071,WORLD OBJ he_siege_boltthrower01,he_siege_boltthrower01,,
1072,WORLD OBJ de_siege_boltthrower01_fire,de_siege_boltthrower01_fire,,
1073,WORLD OBJ he_siege_boltthrower01_fire,he_siege_boltthrower01_fire,,
1074,WORLD OBJ qi_em_cauldron_spilling,qi_em_cauldron_spilling,,
1075,WORLD OBJ qi_em_cauldron,qi_em_cauldron,,
1076,WORLD OBJ qi_he_scroll01,qi_he_scroll01,,
1077,WORLD OBJ qi_he_scroll02,qi_he_scroll02,,
1078,WORLD OBJ qi_em_sewer_pipe_closed,qi_em_sewer_pipe_closed,,
1079,WORLD OBJ qi_em_sewer_pipe_open,qi_em_sewer_pipe_open,,
1080,WORLD OBJ qi_dw_tm_landmark02_beam01_exploding,qi_dw_tm_landmark02_beam01_exploding,,
1081,WORLD OBJ qi_go_lobber_rockpile01,qi_go_lobber_rockpile01,,
1082,WORLD OBJ or_dirt_mound01,or_dirt_mound_01,,
1083,WORLD OBJ em_books_02,em_books_02,,
1084,WORLD OBJ or_prop_books01,or_prop_books01,,
1085,WORLD OBJ ch_prop_chest03,ch_prop_chest03,,
1086,WORLD OBJ or_drumplatform01,or_drumplatform01,,
1087,WORLD OBJ em_reik_rock11,em_reik_rock11,,
1088,WORLD OBJ ch_cage_cart01,ch_cage_cart01,,
1089,WORLD OBJ ch_prop_stonetablet02,ch_prop_stonetablet02,,
1090,WORLD OBJ ge_lumber02,ge_lumber02,,
1091,WORLD OBJ ch_prop_table01,ch_prop_table01,,
1092,WORLD OBJ ch_broken_earth_small01,ch_broken_earth_small01,,
1093,WORLD OBJ qi_dw_prop_bugmansbarrel,qi_dw_prop_bugmansbarrel,,
1094,WORLD OBJ ge_griffon_nest01,ge_griffon_nest01,,
1095,WORLD OBJ qi_ch_Altar_ArmorPieces_Gauntlet,qi_ch_Altar_ArmorPieces_Gauntlet,,
1096,WORLD OBJ qi_ch_Altar_ArmorPieces_Helmet,qi_ch_Altar_ArmorPieces_Helmet,,
1097,WORLD OBJ he_siege_boltthrower01_dest01,he_siege_boltthrower01_dest01,,
1098,WORLD OBJ he_prop_chest01,he_prop_chest01,,
1099,WORLD OBJ qi_he_book01,qi_he_book01,,
1100,WORLD OBJ em_chair_01,em_chair_01,,
1101,WORLD OBJ em_message_board,em_message_board,,
1102,WORLD OBJ or_vfx_greenspill_fog01,or_vfx_greenspill_fog01,,
1103,WORLD OBJ qi_de_manacles01,qi_de_manacles01,,
1104,WORLD OBJ qi_he_well01,qi_he_well01,,
1105,WORLD OBJ qi_he_chest01_open,qi_he_chest01_open,,
1106,WORLD OBJ qi_de_kindlingtorch01,qi_de_kindlingtorch01,,
1107,WORLD OBJ qi_de_kindlingtorch02,qi_de_kindlingtorch02,,
1108,WORLD OBJ qi_de_book01,qi_de_book01,,
1109,WORLD OBJ qi_de_book01_open,qi_de_book01_open,,
1110,WORLD OBJ qi_he_book01_open,qi_he_book01_open,,
1111,WORLD OBJ qi_he_ancestral_stone01,qi_he_ancestral_stone01,,
1112,WORLD OBJ qi_de_binding_manacles01,qi_de_binding_manacles01,,
1113,WORLD OBJ qi_he_crystals01_green,qi_he_crystals01_green,,
1114,WORLD OBJ qi_he_crystals01_red,qi_he_crystals01_red,,
1115,WORLD OBJ qi_he_crystals01_white,qi_he_crystals01_white,,
1116,WORLD OBJ qi_he_crystals01_blue,qi_he_crystals01_blue,,
1117,WORLD OBJ qi_he_plaque01,qi_he_plaque01,,
1118,WORLD OBJ qi_de_parchment01,qi_de_parchment01,,
1119,WORLD OBJ de_dead_m_01,de_dead_m_01,,
1120,WORLD OBJ qi_he_pikeheads01_0heads,qi_he_pikeheads01_0heads,,
1121,WORLD OBJ qi_he_pikeheads01_1heads,qi_he_pikeheads01_1heads,,
1122,WORLD OBJ qi_he_pikeheads01_2heads,qi_he_pikeheads01_2heads,,
1123,WORLD OBJ qi_he_pikeheads01_3heads,qi_he_pikeheads01_3heads,,
1124,WORLD OBJ qi_he_stoneartifact01,qi_he_stoneartifact01,,
1125,WORLD OBJ qi_he_stonetablet01,qi_he_stonetablet01,,
1126,WORLD OBJ qi_he_golden_staff01,qi_he_golden_staff01,,
1127,WORLD OBJ qi_he_golden_staff01_off,qi_he_golden_staff01_off,,
1128,WORLD OBJ he_banner_standing01,he_banner_standing01,,
1129,WORLD OBJ em_siege_steamtank01,em_siege_steamtank01,,
1130,WORLD OBJ qi_de_cauldronblood01,qi_de_cauldronblood01,,
1131,WORLD OBJ qi_he_urien_altar01,qi_he_urien_altar01,,
1132,WORLD OBJ qi_de_herbpoisonous,qi_de_herbpoisonous,,
1133,WORLD OBJ qi_de_rootcorrpted,qi_de_rootcorrpted,,
1134,WORLD OBJ qi_de_shadowblossom,qi_de_shadowblossom,,
1135,WORLD OBJ qi_he_Lthilmar_blade01,qi_he_Lthilmar_blade01,,
1136,WORLD OBJ qi_ch_rift01,qi_ch_rift01,,
1137,WORLD OBJ qi_de_rubic01,qi_de_rubic01,,
1138,WORLD OBJ qi_de_rubic02,qi_de_rubic02,,
1139,WORLD OBJ qi_de_rubic03,qi_de_rubic03,,
1140,WORLD OBJ qi_scenario_herograve_01_lid,qi_scenario_herograve_01_lid,,
1141,WORLD OBJ qi_scenario_herograve_destroyed_lid,qi_scenario_herograve_destroyed_lid,,
1142,WORLD OBJ em_city_table01,em_city_table01,,
1143,WORLD OBJ em_city_table01_breaking,em_city_table01_breaking,,
1144,WORLD OBJ em_city_barrel01,em_city_barrel01,,
1145,WORLD OBJ em_city_barrel01_breaking,em_city_barrel01_breaking,,
1146,WORLD OBJ em_city_crates01,em_city_crates01,,
1147,WORLD OBJ em_city_crates01_breaking,em_city_crates01_breaking,,
1148,WORLD OBJ de_props_weaponrack01,de_props_weaponrack01,,
1149,WORLD OBJ em_city_barrel_lamp,em_city_barrel_lamp,,
1150,WORLD OBJ em_city_barrel_lamp_exploding,em_city_barrel_lamp_exploding,,
1151,WORLD OBJ he_dead_f_03,he_dead_f_03,,
1152,WORLD OBJ he_dead_m_03,he_dead_m_03,,
1153,em_broom_01,em_broom_01,,
1154,WORLD OBJ em_city_table_lamp,em_city_table_lamp,,
1155,WORLD OBJ em_city_table_lamp_exploding,em_city_table_lamp_exploding,,
1156,WORLD OBJ em_table_breaking_01,em_table_breaking_01,,
1157,WORLD OBJ em_city_crates_lamp,em_city_crates_lamp,,
1158,WORLD OBJ em_city_crates_lamp_exploding,em_city_crates_lamp_exploding,,
1159,WORLD OBJ em_city_rattrap01,em_city_rattrap01,,
1160,WORLD OBJ em_city_rattrap02,em_city_rattrap02,,
1161,WORLD OBJ em_chair_02,em_chair_02,,
1162,WORLD OBJ em_chair02_breaking,em_chair02_breaking,,
1163,WORLD OBJ qi_em_grapepress,qi_em_grapepress,,
1164,WORLD OBJ de_prop_table01,de_prop_table01,,
1165,WORLD OBJ ge_fire_flat01,ge_fire_flat01,,
1166,WORLD OBJ qi_em_treeFall_state01,qi_em_treeFall_state01,,
1167,WORLD OBJ qi_em_treeFall_state02,qi_em_treeFall_state02,,
1168,WORLD OBJ qi_em_treeFall_state03,qi_em_treeFall_state03,,
1169,WORLD OBJ em_haybale_fire_sfx,em_haybale_fire_sfx,,
1170,WORLD OBJ sk_dungeon_entrance_01,sk_dungeon_entrance_01,,
1171,WORLD OBJ qi_sk_machine_con01,qi_sk_machine_con01,,
1172,WORLD OBJ qi_sk_machine_acu01,qi_sk_machine_acu01,,
1173,,,,
1174,,,,
1175,,,,
1176,,,,
1177,,,,
1178,,,,
1179,,,,
1180,,,,
1181,,,,
1182,,,,
1183,,,,
1184,,,,
1185,,,,
1186,,,,
1187,,,,
1188,WORLD OBJ em_table01,em_table01,,
1189,WORLD OBJ em_woodfence01,em_woodfence01,,
1190,WORLD OBJ em_woodfence02,em_woodfence02,,
1191,NPC_DE_Crossbow_01,NPC_DE_Crossbow_01,,
1192,DE_Dagger_1H_T1_01,DE_Dagger_1H_T1_01,,
1193,DE_Sword_2H_Guard_01,DE_Sword_2H_Guard_01,,
1194,HE_Longbow_1H_T1_01,HE_Longbow_1H_T1_01,,
1195,HE_Staff_2H_T1_01,HE_Staff_2H_T1_01,,
1196,,,,
1197,em_carry_smallcrate01,em_carry_smallcrate01,,
1198,WORLD OBJ em_grainsack01,em_grainsack01,,
1199,em_lute_01,em_lute_01,,
1200,WORLD OBJ ch_Energyball01,ch_Energyball01,,
1201,WORLD OBJ em_trashpile02,em_trashpile02,,
1202,WORLD OBJ go_dead_01,go_dead_01,,
1203,WORLD OBJ em_event_tent01,em_event_tent01,,
1204,WORLD OBJ em_event_tent02,em_event_tent02,,
1205,WORLD OBJ em_event_tent03,em_event_tent03,,
1206,WORLD OBJ em_event_lumber01,em_event_lumber01,,
1207,WORLD OBJ em_event_lumber02,em_event_lumber02,,
1208,WORLD OBJ de_prisoner_cage01,de_prisoner_cage01,,
1209,WORLD OBJ de_prop_crate01,de_prop_crate01,,
1210,WORLD OBJ sk_scenario_bridge_intact,sk_scenario_bridge_intact,,
1211,WORLD OBJ sk_scenario_bridge_destroyed,sk_scenario_bridge_destroyed,,
1212,WORLD OBJ he_prop_weaponrack01,he_prop_weaponrack01,,
1213,WORLD OBJ em_city_statue_plaque01,em_city_statue_plaque01,,
1214,WORLD OBJ vfx_scenario_koh_white,vfx_scenario_koh_white,,
1215,WORLD OBJ vfx_scenario_koh_red,vfx_scenario_koh_red,,
1216,WORLD OBJ vfx_scenario_koh_blue,vfx_scenario_koh_blue,,
1217,WORLD OBJ em_sewers_body_float,em_sewers_body_float,,
1218,WORLD OBJ qi_de_hole01,qi_de_hole01,,
1219,WORLD OBJ de_props_chest01,de_props_chest01,,
1220,WORLD OBJ qi_pq_chest01,qi_pq_chest01,,
1221,WORLD OBJ qi_em_hourglass,qi_em_hourglass,,
1222,WORLD OBJ qi_em_hourglass_broken,qi_em_hourglass_broken,,
1223,WORLD OBJ qi_ch_tempesthorn_piece01,qi_ch_tempesthorn_piece01,,
1224,WORLD OBJ qi_he_anurion_statue01,qi_he_anurion_statue01,,
1225,WORLD OBJ qi_he_anurion_statue02,qi_he_anurion_statue02,,
1226,WORLD OBJ qi_he_anurion_statue03,qi_he_anurion_statue03,,
1227,WORLD OBJ qi_he_anurion_statue04,qi_he_anurion_statue04,,
1228,WORLD OBJ qi_he_dragon_bone01,qi_he_dragon_bone01,,
1229,WORLD OBJ qi_he_laurilions_lament01_off,qi_he_laurilions_lament01_off,,
1230,WORLD OBJ qi_he_laurilions_lament01_on,qi_he_laurilions_lament01_on,,
1231,WORLD OBJ qi_he_glass_shard01,qi_he_glass_shard01,,
1232,WORLD OBJ qi_he_glass_shard02,qi_he_glass_shard02,,
1233,WORLD OBJ qi_he_glass_shard03,qi_he_glass_shard03,,
1234,WORLD OBJ qi_he_stone_shard01,qi_he_stone_shard01,,
1235,WORLD OBJ qi_he_stone_shard02,qi_he_stone_shard02,,
1236,WORLD OBJ qi_he_stone_shard03,qi_he_stone_shard03,,
1237,WORLD OBJ qi_ch_rift02,qi_ch_rift02,,
1238,WORLD OBJ qi_de_banner_pole01,qi_de_banner_pole01,,
1239,WORLD OBJ qi_de_banner_standing01,qi_de_banner_standing01,,
1240,WORLD OBJ qi_he_banner_pole01,qi_he_banner_pole01,,
1241,WORLD OBJ qi_he_banner_standing01,qi_he_banner_standing01,,
1242,CH_Axe_1H_T1_01,CH_Axe_1H_T1_01,,
1243,CH_Axe_1H_T2_01,CH_Axe_1H_T2_01,,
1244,CH_Axe_1H_T3_01,CH_Axe_1H_T3_01,,
1245,CH_Axe_1H_T3_02,CH_Axe_1H_T3_02,,
1246,CH_Axe_1H_T4_01,CH_Axe_1H_T4_01,,
1247,CH_Axe_1H_TE_01,CH_Axe_1H_TE_01,,
1248,CH_Axe_1H_TE_02,CH_Axe_1H_TE_02,,
1249,CH_Axe_2H_T1_01,CH_Axe_2H_T1_01,,
1250,CH_Axe_2H_T2_01,CH_Axe_2H_T2_01,,
1251,CH_Axe_2H_T3_01,CH_Axe_2H_T3_01,,
1252,CH_Axe_2H_T3_02,CH_Axe_2H_T3_02,,
1253,CH_Axe_2H_T4_01,CH_Axe_2H_T4_01,,
1254,CH_Axe_2H_TE_01,CH_Axe_2H_TE_01,,
1255,CH_Axe_2H_TE_02,CH_Axe_2H_TE_02,,
1256,DW_Shield_T3_03,DW_Shield_T3_03,,
1257,DW_Shield_T4_01,DW_Shield_T4_01,,
1258,DW_Shield_T4_02,DW_Shield_T4_02,,
1259,DW_Shield_TE_02,DW_Shield_TE_02,,
1260,EM_drum_01,EM_drum_01,,
1261,EM_drumstick_01,EM_drumstick_01,,
1262,CH_Pick_1H_T1_01,CH_Pick_1H_T1_01,,
1263,CH_Pick_1H_T2_01,CH_Pick_1H_T2_01,,
1264,CH_Pick_1H_T3_01,CH_Pick_1H_T3_01,,
1265,CH_Mace_1H_T2_01,CH_Mace_1H_T2_01,,
1266,CH_Mace_1H_T3_01,CH_Mace_1H_T3_01,,
1267,CH_Mace_1H_T4_01,CH_Mace_1H_T4_01,,
1268,WORLD OBJ qi_em_rack_01,qi_em_rack_01,,
1269,WORLD OBJ qi_em_rack_02,qi_em_rack_02,,
1270,WORLD OBJ qi_ch_deathstone01,qi_ch_deathstone01,,
1271,WORLD OBJ qi_ch_deathstone02,qi_ch_deathstone02,,
1272,WORLD OBJ qi_em_grave01,qi_em_grave01,,
1273,WORLD OBJ qi_em_grave02,qi_em_grave02,,
1274,WORLD OBJ qi_em_grave03,qi_em_grave03,,
1275,WORLD OBJ qi_em_grave_dirtpile01,qi_em_grave_dirtpile01,,
1276,WORLD OBJ qi_em_grave_dirtpile02,qi_em_grave_dirtpile02,,
1277,Mek_Lobba_01,Mek_Lobba_01,,
1278,WORLD OBJ qi_ch_Altar_ArmorPieces_Shoulder,qi_ch_Altar_ArmorPieces_Shoulder,,
1279,WORLD OBJ qi_or_brimstone01,qi_or_brimstone01,,
1280,WORLD OBJ qi_or_effigy_mork_destroyed,qi_or_effigy_mork_destroyed,,
1281,WORLD OBJ qi_dw_crate01,qi_dw_crate01,,
1282,WORLD OBJ qi_dw_crate01_destroyed,qi_dw_crate01_destroyed,,
1283,WORLD OBJ qi_em_statue_sigmar01_destroyed,qi_em_statue_sigmar01_destroyed,,
1284,,,,
1285,WORLD OBJ qi_he_head_bust01,qi_he_head_bust01,,
1286,WORLD OBJ qi_he_head_bust01_destroyed,qi_he_head_bust01_destroyed,,
1287,WORLD OBJ qi_he_head_bust02,qi_he_head_bust02,,
1288,WORLD OBJ qi_he_head_bust02_destroyed,qi_he_head_bust02_destroyed,,
1289,WORLD OBJ em_chest_opening,em_chest_opening,,
1290,WORLD OBJ qi_em_keys01,qi_em_keys01,,
1291,WORLD OBJ he_dead_f_01,he_dead_f_01,,
1292,WORLD OBJ he_dead_f_02,he_dead_f_02,,
1293,WORLD OBJ he_dead_m_01,he_dead_m_01,,
1294,WORLD OBJ he_dead_m_02,he_dead_m_02,,
1295,CH_Shield_T1_01,CH_Shield_T1_01,,
1296,CH_Shield_T2_01,CH_Shield_T2_01,,
1297,CH_Shield_T3_01,CH_Shield_T3_01,,
1298,CH_Shield_T3_02,CH_Shield_T3_02,,
1299,CH_Shield_T4_01,CH_Shield_T4_01,,
1300,CH_Shield_TE_01,CH_Shield_TE_01,,
1301,CH_Shield_TE_02,CH_Shield_TE_02,,
1302,WORLD OBJ em_fireworks_karlfranz,em_fireworks_karlfranz,,
1303,WORLD OBJ em_fireworks_pinwheel,em_fireworks_pinwheel,,
1304,WORLD OBJ em_fireworks_roundburst,em_fireworks_roundburst,,
1305,WORLD OBJ em_fireworks_starburst,em_fireworks_starburst,,
1306,WORLD OBJ de_banner01,de_banner01,,
1307,,,,
1308,WORLD OBJ de_siege_boltthrower01_destroyed,de_siege_boltthrower01_destroyed,,
1309,WORLD OBJ vfx_mo_tower01_pillar_effect,vfx_mo_tower01_pillar_effect,,
1310,WORLD OBJ em_fireworks_pinwheel_blue,em_fireworks_pinwheel_blue,,
1311,WORLD OBJ em_fireworks_pinwheel_gold,em_fireworks_pinwheel_gold,,
1312,WORLD OBJ em_fireworks_pinwheel_green,em_fireworks_pinwheel_green,,
1313,WORLD OBJ em_fireworks_pinwheel_purple,em_fireworks_pinwheel_purple,,
1314,WORLD OBJ em_fireworks_pinwheel_red,em_fireworks_pinwheel_red,,
1315,WORLD OBJ em_fireworks_pinwheel_white,em_fireworks_pinwheel_white,,
1316,WORLD OBJ em_fireworks_roundburst_blue,em_fireworks_roundburst_blue,,
1317,WORLD OBJ em_fireworks_roundburst_gold,em_fireworks_roundburst_gold,,
1318,WORLD OBJ em_fireworks_roundburst_green,em_fireworks_roundburst_green,,
1319,WORLD OBJ em_fireworks_roundburst_purple,em_fireworks_roundburst_purple,,
1320,WORLD OBJ em_fireworks_roundburst_red,em_fireworks_roundburst_red,,
1321,WORLD OBJ em_fireworks_roundburst_white,em_fireworks_roundburst_white,,
1322,WORLD OBJ em_fireworks_starburst_blue,em_fireworks_starburst_blue,,
1323,WORLD OBJ em_fireworks_starburst_gold,em_fireworks_starburst_gold,,
1324,WORLD OBJ em_fireworks_starburst_green,em_fireworks_starburst_green,,
1325,WORLD OBJ em_fireworks_starburst_purple,em_fireworks_starburst_purple,,
1326,WORLD OBJ em_fireworks_starburst_red,em_fireworks_starburst_red,,
1327,WORLD OBJ em_fireworks_starburst_white,em_fireworks_starburst_white,,
1328,WORLD OBJ em_fireworks_KarlFranz_blue,em_fireworks_KarlFranz_blue,,
1329,WORLD OBJ em_fireworks_KarlFranz_gold,em_fireworks_KarlFranz_gold,,
1330,WORLD OBJ em_fireworks_KarlFranz_green,em_fireworks_KarlFranz_green,,
1331,WORLD OBJ em_fireworks_KarlFranz_purple,em_fireworks_KarlFranz_purple,,
1332,WORLD OBJ em_fireworks_KarlFranz_red,em_fireworks_KarlFranz_red,,
1333,WORLD OBJ em_fireworks_KarlFranz_white,em_fireworks_KarlFranz_white,,
1334,WORLD OBJ qi_he_armoir01,qi_he_armoir01,,
1335,WORLD OBJ qi_he_armoir02,qi_he_armoir02,,
1336,WORLD OBJ qi_he_bookcase01,qi_he_bookcase01,,
1337,WORLD OBJ qi_he_broken_altar01,qi_he_broken_altar01,,
1338,WORLD OBJ he_roadside_brazier01,he_roadside_brazier01,,
1339,WORLD OBJ qi_he_anvil01,qi_he_anvil01,,
1340,WORLD OBJ qi_he_rune01,qi_he_rune01,,
1341,WORLD OBJ qi_he_rune02,qi_he_rune02,,
1342,WORLD OBJ qi_ch_deathstone01_glow,qi_ch_deathstone01_glow,,
1343,WORLD OBJ qi_ch_deathstone02_glow,qi_ch_deathstone02_glow,,
1344,WORLD OBJ qi_ctf_pvp_wallbanner_red,qi_ctf_pvp_wallbanner_red,,
1345,WORLD OBJ qi_ctf_pvp_wallbanner_blue,qi_ctf_pvp_wallbanner_blue,,
1346,WORLD OBJ qi_ch_tzeentch01,qi_ch_tzeentch01,,
1347,WORLD OBJ qi_ch_tzeentch02,qi_ch_tzeentch02,,
1348,WORLD OBJ ch_city_burningbookpile,ch_city_burningbookpile,,
1349,WORLD OBJ ch_tablet_rune01,ch_tablet_rune01,,
1350,WORLD OBJ ch_tablet_rune02,ch_tablet_rune02,,
1351,WORLD OBJ ch_tablet_rune03,ch_tablet_rune03,,
1352,WORLD OBJ ch_tablet_rune04,ch_tablet_rune04,,
1353,WORLD OBJ ch_tablet_rune05,ch_tablet_rune05,,
1354,WORLD OBJ ch_tablet_rune06,ch_tablet_rune06,,
1355,WORLD OBJ ch_tablet_rune07,ch_tablet_rune07,,
1356,WORLD OBJ ch_tablet_rune08,ch_tablet_rune08,,
1357,WORLD OBJ ch_tablet_rune09,ch_tablet_rune09,,
1358,WORLD OBJ qi_ch_norse_prop08_fire,qi_ch_norse_prop08_fire,,
1359,em_jugglingstick_01,em_jugglingstick_01,,
1360,WORLD OBJ ch_prop_table02_breaking,ch_prop_table02_breaking,,
1361,WORLD OBJ he_prop_chair02,he_prop_chair02,,
1362,WORLD OBJ em_siege_steamtank01_steaming,em_siege_steamtank01_steaming,,
1363,WORLD OBJ de_mirrorStanding01,de_mirrorStanding01,,
1364,WORLD OBJ de_mirrorStanding01_destroyed,de_mirrorStanding01_destroyed,,
1365,WORLD OBJ em_city_ballotbox,em_city_ballotbox,,
1366,de_sword_1H_TE_01,de_sword_1H_TE_01,,
1367,de_sword_1H_TE_02,de_sword_1H_TE_02,,
1368,,,,
1369,,,,
1370,,,,
1371,em_pistol_TE_01,em_pistol_TE_01,,
1372,de_sword_1H_T1_01,de_sword_1H_T1_01,,
1373,de_sword_1H_T1_02,de_sword_1H_T1_02,,
1374,de_sword_1H_T2_01,de_sword_1H_T2_01,,
1375,de_sword_1H_T2_02,de_sword_1H_T2_02,,
1376,de_sword_1H_T3_01,de_sword_1H_T3_01,,
1377,de_sword_1H_T3_02,de_sword_1H_T3_02,,
1378,de_sword_1H_T3_03,de_sword_1H_T3_03,,
1379,de_sword_1H_T4_01,de_sword_1H_T4_01,,
