i,icon,type,slot
17716,422,NONE,NONE
17717,762,QUEST,NONE
17718,410,NONE,NONE
17719,357,NONE,NONE
17720,480,QUEST,NONE
17721,360,NONE,NONE
17722,223,NONE,NONE
17723,396,NONE,NONE
17724,363,NONE,NONE
17725,405,QUEST,NONE
17726,445,NONE,NONE
17727,440,NONE,NONE
17728,363,NONE,NONE
17729,834,QUEST,NONE
17730,1353,NONE,NONE
17731,415,NONE,NONE
17732,415,QUEST,NONE
17733,411,QUEST,NONE
17734,419,NONE,NONE
17735,1325,NONE,NONE
17736,1326,NONE,NONE
17737,1321,NONE,NONE
17738,454,QUEST,NONE
17739,1367,QUEST,NONE
17740,373,QUEST,NONE
17741,445,NONE,NONE
17742,399,NONE,NONE
17743,3917,QUEST,NONE
17744,415,NONE,NONE
17745,455,QUEST,NONE
17746,437,NONE,NONE
17747,425,NONE,NONE
17748,381,NONE,NONE
17749,437,NONE,NONE
17750,363,NONE,NONE
17751,402,QUEST,NONE
17752,440,NONE,NONE
17753,402,QUEST,NONE
17754,408,NONE,NONE
17755,4007,NONE,NONE
17756,421,NONE,NONE
17757,425,NONE,NONE
17758,458,QUEST,NONE
17759,392,QUEST,NONE
17760,396,NONE,NONE
17761,426,NONE,NONE
17762,1424,NONE,NONE
17763,1424,NONE,NONE
17764,481,NONE,NONE
17765,383,NONE,NONE
17766,382,NONE,NONE
17767,411,NONE,NONE
17768,382,NONE,NONE
17769,357,NONE,NONE
17770,363,NONE,NONE
17771,358,NONE,NONE
17772,402,NONE,NONE
17773,406,NONE,NONE
17774,395,NONE,NONE
17775,437,QUEST,NONE
17776,358,NONE,NONE
17777,419,NONE,NONE
17778,406,NONE,NONE
17779,634,NONE,NONE
17780,420,NONE,NONE
17781,479,NONE,NONE
17782,398,QUEST,NONE
17783,375,NONE,NONE
17784,446,QUEST,NONE
17785,360,NONE,NONE
17786,786,QUEST,NONE
17787,375,NONE,NONE
17788,440,NONE,NONE
17789,437,NONE,NONE
17790,437,NONE,NONE
17791,437,NONE,NONE
17792,437,NONE,NONE
17793,437,NONE,NONE
17794,437,NONE,NONE
17795,437,NONE,NONE
17796,437,NONE,NONE
17797,437,QUEST,NONE
17798,849,NONE,NONE
17799,668,NONE,NONE
17800,1321,NONE,NONE
17801,428,NONE,NONE
17802,404,NONE,NONE
17803,420,NONE,NONE
17804,430,NONE,NONE
17805,459,NONE,NONE
17806,388,NONE,NONE
17807,395,NONE,NONE
17808,406,NONE,NONE
17809,1421,NONE,NONE
17810,1408,NONE,NONE
17811,1092,NONE,NONE
17812,2824,NONE,NONE
17813,1348,NONE,NONE
17814,415,NONE,NONE
17815,454,NONE,NONE
17816,454,NONE,NONE
17817,406,NONE,NONE
17818,454,NONE,NONE
17819,440,NONE,NONE
17820,454,NONE,NONE
17821,362,NONE,NONE
17822,392,NONE,NONE
17823,454,NONE,NONE
17824,454,NONE,NONE
17825,546,NONE,NONE
17826,396,NONE,NONE
17827,406,NONE,NONE
17828,406,NONE,NONE
17829,454,NONE,NONE
17830,354,NONE,NONE
17831,454,NONE,NONE
17832,454,NONE,NONE
17833,3545,NONE,NONE
17834,248,QUEST,NONE
17835,432,NONE,NONE
17836,357,NONE,NONE
17837,461,QUEST,NONE
17838,478,QUEST,NONE
17839,406,QUEST,NONE
17840,409,NONE,NONE
17841,457,NONE,NONE
17842,403,NONE,NONE
17843,406,QUEST,NONE
17844,478,QUEST,NONE
17845,454,QUEST,NONE
17846,454,NONE,NONE
17847,406,QUEST,NONE
17848,786,NONE,NONE
17849,702,NONE,NONE
17850,437,QUEST,NONE
17851,957,QUEST,NONE
17852,963,NONE,NONE
17853,391,NONE,NONE
17854,2677,NONE,NONE
17855,441,NONE,NONE
17856,450,NONE,NONE
17857,795,NONE,NONE
17858,1951,NONE,NONE
17859,1329,NONE,NONE
17860,479,NONE,NONE
17861,768,NONE,NONE
17862,441,NONE,NONE
17863,2633,NONE,NONE
17864,1372,NONE,NONE
17865,482,NONE,NONE
17866,373,NONE,NONE
17867,737,NONE,NONE
17868,458,NONE,NONE
17869,482,NONE,NONE
17870,479,NONE,NONE
17871,547,NONE,NONE
17872,479,NONE,NONE
17873,482,NONE,NONE
17874,793,NONE,NONE
17875,744,QUEST,NONE
17876,961,NONE,NONE
17877,534,NONE,NONE
17878,481,NONE,NONE
17879,531,NONE,NONE
17880,482,NONE,NONE
17881,482,NONE,NONE
17882,482,NONE,NONE
17883,768,NONE,NONE
17884,794,NONE,NONE
17885,1351,NONE,NONE
17886,479,NONE,NONE
17887,482,NONE,NONE
17888,529,NONE,NONE
17889,1352,NONE,NONE
17890,461,NONE,NONE
17891,437,NONE,NONE
17892,482,NONE,NONE
17893,791,NONE,NONE
17894,482,NONE,NONE
17895,3925,NONE,NONE
17896,531,QUEST,NONE
17897,798,NONE,NONE
17898,420,QUEST,NONE
17899,1951,NONE,NONE
17900,414,NONE,NONE
17901,1616,SWORD,EITHER
17902,1616,SWORD,EITHER
17903,1842,ASHLD,LEFT
17904,1367,STAFF,EITHER
17905,1342,HAMMER,EITHER
17906,1416,HAMMER,RGHT
17907,1915,AXE,RGHT
17908,1908,ASHLD,LEFT
17909,1420,STAFF,RGHT
17910,1326,DAGGER,EITHER
17911,686,NONE,PNTS
17912,687,NONE,BOOT
17913,669,NONE,SHRT
17914,670,NONE,SHRT
17915,671,NONE,SHRT
17916,672,NONE,SHRT
17917,676,NONE,SHRT
17918,673,NONE,SHRT
17919,685,NONE,BOOT
17920,2720,NONE,BODY
17921,2722,NONE,GLOV
17922,2723,NONE,SHOU
17923,2721,NONE,BOOT
17924,2587,NONE,BODY
17925,2589,NONE,GLOV
17926,2590,NONE,SHOU
17927,2588,NONE,BOOT
17928,1483,NONE,LEFT
17929,1146,NONE,PNTS
17930,1147,NONE,PNTS
17931,674,NONE,SHRT
17932,2765,NONE,BOOT
17933,2809,NONE,BOOT
17934,0,NONE,PNTS
17935,678,NONE,SHRT
17936,0,NONE,PNTS
17937,682,NONE,SHRT
17938,1346,PISTOL,LEFT
17939,1965,NONE,BOOT
17940,1966,NONE,SHRT
17941,1967,NONE,BOOT
17942,1968,NONE,SHRT
17943,3309,SWORD,RGHT
17944,3262,DAGGER,EITHER
17945,1390,DAGGER,EITHER
17946,1873,SWORD,EITHER
17947,1873,SWORD,EITHER
17948,1393,STAFF,RGHT
17949,3630,NONE,BELT
17950,3631,NONE,BOOT
17951,3674,NONE,SHRT
17952,3496,NONE,BOOT
17953,3497,NONE,SHRT
17954,3766,NONE,BOOT
17955,3763,NONE,SHRT
17956,3298,SWORD,RGHT
17957,3270,BOW,RANGE
17958,3806,NONE,BOOT
17959,3807,NONE,SHRT
17960,3356,STAFF,RGHT
17961,,,
17962,,,
17963,,,
17964,,,
17965,,,
17966,,,
17967,,,
17968,,,
17969,,,
17970,,,
17971,,,
17972,,,
17973,,,
17974,,,
17975,,,
17976,,,
17977,,,
17978,,,
17979,,,
17980,,,
17981,,,
17982,,,
17983,,,
17984,,,
17985,,,
17986,,,
17987,,,
17988,,,
17989,,,
17990,,,
17991,,,
17992,,,
17993,,,
17994,,,
17995,,,
17996,,,
17997,,,
17998,,,
17999,,,
18000,,,
18001,2366,NONE,BELT
18002,2367,NONE,BODY
18003,2368,NONE,BOOT
18004,2369,NONE,GLOV
18005,2371,NONE,HELM
18006,2370,NONE,SHOU
18007,2372,NONE,BELT
18008,2373,NONE,BODY
18009,2374,NONE,BOOT
18010,2375,NONE,GLOV
18011,2377,NONE,HELM
18012,2376,NONE,SHOU
18013,2378,NONE,BELT
18014,2379,NONE,BODY
18015,2380,NONE,BOOT
18016,2381,NONE,GLOV
18017,2383,NONE,HELM
18018,2382,NONE,SHOU
18019,2384,NONE,BELT
18020,2385,NONE,BODY
18021,2386,NONE,BOOT
18022,2387,NONE,GLOV
18023,2389,NONE,HELM
18024,2388,NONE,SHOU
18025,2390,NONE,BELT
18026,2391,NONE,BODY
18027,2392,NONE,BOOT
18028,2393,NONE,GLOV
18029,2395,NONE,HELM
18030,2394,NONE,SHOU
18031,2426,NONE,BELT
18032,2427,NONE,BODY
18033,2428,NONE,BOOT
18034,2429,NONE,GLOV
18035,2431,NONE,HELM
18036,2430,NONE,SHOU
18037,2432,NONE,BELT
18038,2433,NONE,BODY
18039,2434,NONE,BOOT
18040,2435,NONE,GLOV
18041,2437,NONE,HELM
18042,2436,NONE,SHOU
18043,2438,NONE,BELT
18044,2439,NONE,BODY
18045,2440,NONE,BOOT
18046,2441,NONE,GLOV
18047,2443,NONE,HELM
18048,2442,NONE,SHOU
18049,2444,NONE,BELT
18050,2445,NONE,BODY
18051,2446,NONE,BOOT
18052,2447,NONE,GLOV
18053,2449,NONE,HELM
18054,2448,NONE,SHOU
18055,2450,NONE,BELT
18056,2451,NONE,BODY
18057,2452,NONE,BOOT
18058,2453,NONE,GLOV
18059,2455,NONE,HELM
18060,2454,NONE,SHOU
18061,2306,NONE,BELT
18062,2307,NONE,BODY
18063,2308,NONE,BOOT
18064,2309,NONE,GLOV
18065,2311,NONE,HELM
18066,2310,NONE,SHOU
18067,2312,NONE,BELT
18068,2313,NONE,BODY
18069,2314,NONE,BOOT
18070,2315,NONE,GLOV
18071,2317,NONE,HELM
18072,2316,NONE,SHOU
18073,2318,NONE,BELT
18074,2319,NONE,BODY
18075,2320,NONE,BOOT
18076,2321,NONE,GLOV
18077,2323,NONE,HELM
18078,2322,NONE,SHOU
18079,2324,NONE,BELT
18080,2325,NONE,BODY
18081,2326,NONE,BOOT
18082,2327,NONE,GLOV
18083,2329,NONE,HELM
18084,2328,NONE,SHOU
18085,2330,NONE,BELT
18086,2331,NONE,BODY
18087,2332,NONE,BOOT
18088,2333,NONE,GLOV
18089,2335,NONE,HELM
18090,2334,NONE,SHOU
18091,2246,NONE,BELT
18092,2247,NONE,BODY
18093,2248,NONE,BOOT
18094,2249,NONE,GLOV
18095,2251,NONE,HELM
18096,2250,NONE,SHOU
18097,2252,NONE,BELT
18098,2253,NONE,BODY
18099,2254,NONE,BOOT
18100,2255,NONE,GLOV
18101,2257,NONE,HELM
18102,2256,NONE,SHOU
18103,2258,NONE,BELT
18104,2259,NONE,BODY
18105,2260,NONE,BOOT
18106,2261,NONE,GLOV
18107,2263,NONE,HELM
18108,2262,NONE,SHOU
18109,2264,NONE,BELT
18110,2265,NONE,BODY
18111,2266,NONE,BOOT
18112,2267,NONE,GLOV
18113,2269,NONE,HELM
18114,2268,NONE,SHOU
18115,2270,NONE,BELT
18116,2271,NONE,BODY
18117,2272,NONE,BOOT
18118,2273,NONE,GLOV
18119,2275,NONE,HELM
18120,2274,NONE,SHOU
18121,2186,NONE,BELT
18122,2187,NONE,BODY
18123,2188,NONE,BOOT
18124,2189,NONE,GLOV
18125,2191,NONE,HELM
18126,2190,NONE,SHOU
18127,2192,NONE,BELT
18128,2193,NONE,BODY
18129,2194,NONE,BOOT
18130,2195,NONE,GLOV
18131,2197,NONE,HELM
18132,2196,NONE,SHOU
18133,2198,NONE,BELT
18134,2199,NONE,BODY
18135,2200,NONE,BOOT
18136,2201,NONE,GLOV
18137,2203,NONE,HELM
18138,2202,NONE,SHOU
18139,2204,NONE,BELT
18140,2205,NONE,BODY
18141,2206,NONE,BOOT
18142,2207,NONE,GLOV
18143,2209,NONE,HELM
18144,2208,NONE,SHOU
18145,2210,NONE,BELT
18146,2211,NONE,BODY
18147,2212,NONE,BOOT
18148,2213,NONE,GLOV
18149,2215,NONE,HELM
18150,2214,NONE,SHOU
18151,2066,NONE,BELT
18152,2067,NONE,BODY
18153,2068,NONE,BOOT
18154,2069,NONE,GLOV
18155,2071,NONE,HELM
18156,2070,NONE,SHOU
18157,2072,NONE,BELT
18158,2073,NONE,BODY
18159,2074,NONE,BOOT
18160,2075,NONE,GLOV
18161,2077,NONE,HELM
18162,2076,NONE,SHOU
18163,2078,NONE,BELT
18164,2079,NONE,BODY
18165,2080,NONE,BOOT
18166,2081,NONE,GLOV
18167,2083,NONE,HELM
18168,2082,NONE,SHOU
18169,2084,NONE,BELT
18170,2085,NONE,BODY
18171,2086,NONE,BOOT
18172,2087,NONE,GLOV
18173,2089,NONE,HELM
18174,2088,NONE,SHOU
18175,2090,NONE,BELT
18176,2091,NONE,BODY
18177,2092,NONE,BOOT
18178,2093,NONE,GLOV
18179,2095,NONE,HELM
18180,2094,NONE,SHOU
18181,2126,NONE,BELT
18182,2127,NONE,BODY
18183,2128,NONE,BOOT
18184,2129,NONE,GLOV
18185,2131,NONE,HELM
18186,2130,NONE,SHOU
18187,2132,NONE,BELT
18188,2133,NONE,BODY
18189,2134,NONE,BOOT
18190,2135,NONE,GLOV
18191,2137,NONE,HELM
18192,2136,NONE,SHOU
18193,2138,NONE,BELT
18194,2139,NONE,BODY
18195,2140,NONE,BOOT
18196,2141,NONE,GLOV
18197,2143,NONE,HELM
18198,2142,NONE,SHOU
18199,2144,NONE,BELT
18200,2145,NONE,BODY
18201,2146,NONE,BOOT
18202,2147,NONE,GLOV
18203,2149,NONE,HELM
18204,2148,NONE,SHOU
18205,2150,NONE,BELT
18206,2151,NONE,BODY
18207,2152,NONE,BOOT
18208,2153,NONE,GLOV
18209,2155,NONE,HELM
18210,2154,NONE,SHOU
18211,2000,NONE,BELT
18212,2001,NONE,BODY
18213,2002,NONE,BOOT
18214,2003,NONE,GLOV
18215,2005,NONE,HELM
18216,2004,NONE,SHOU
18217,2006,NONE,BELT
18218,2007,NONE,BODY
18219,2008,NONE,BOOT
18220,2009,NONE,GLOV
18221,2011,NONE,HELM
18222,2010,NONE,SHOU
18223,2018,NONE,BELT
18224,2019,NONE,BODY
18225,2020,NONE,BOOT
18226,2021,NONE,GLOV
18227,2023,NONE,HELM
18228,2022,NONE,SHOU
18229,2024,NONE,BELT
18230,2025,NONE,BODY
18231,2026,NONE,BOOT
18232,2027,NONE,GLOV
18233,2028,NONE,HELM
18234,2029,NONE,SHOU
18235,2030,NONE,BELT
18236,2031,NONE,BODY
18237,2032,NONE,BOOT
18238,2033,NONE,GLOV
18239,2035,NONE,HELM
18240,2034,NONE,SHOU
18241,2216,NONE,SHOU
18242,2217,NONE,BELT
18243,2218,NONE,BODY
18244,2219,NONE,BOOT
18245,2220,NONE,GLOV
18246,2221,NONE,HELM
18247,2222,NONE,SHOU
18248,2223,NONE,BELT
18249,2224,NONE,BODY
18250,2225,NONE,BOOT
18251,2226,NONE,GLOV
18252,2227,NONE,HELM
18253,2036,NONE,SHOU
18254,2037,NONE,BELT
18255,2038,NONE,BODY
18256,2039,NONE,BOOT
18257,2040,NONE,GLOV
18258,2041,NONE,HELM
18259,2042,NONE,SHOU
18260,2043,NONE,BELT
18261,2044,NONE,BODY
18262,2045,NONE,BOOT
18263,2046,NONE,GLOV
18264,2047,NONE,HELM
18265,2336,NONE,SHOU
18266,2337,NONE,BELT
18267,2338,NONE,BODY
18268,2339,NONE,BOOT
18269,2340,NONE,GLOV
18270,2341,NONE,HELM
18271,2342,NONE,SHOU
18272,2343,NONE,BELT
18273,2344,NONE,BODY
18274,2345,NONE,BOOT
18275,2346,NONE,GLOV
18276,2347,NONE,HELM
18277,2456,NONE,SHOU
18278,2457,NONE,BELT
18279,2458,NONE,BODY
18280,2459,NONE,BOOT
18281,2460,NONE,GLOV
18282,2461,NONE,HELM
18283,2462,NONE,SHOU
18284,2463,NONE,BELT
18285,2464,NONE,BODY
18286,2465,NONE,BOOT
18287,2466,NONE,GLOV
18288,2467,NONE,HELM
18289,2542,NONE,BELT
18290,2543,NONE,BODY
18291,2544,NONE,BOOT
18292,2545,NONE,GLOV
18293,2546,NONE,SHOU
18294,2547,NONE,HELM
18295,2548,NONE,BELT
18296,2549,NONE,BODY
18297,2550,NONE,BOOT
18298,2551,NONE,GLOV
18299,2552,NONE,SHOU
18300,2553,NONE,HELM
18301,1282,ASHLD,LEFT
18302,1217,HAMMER,RGHT
18303,1234,STAFF,RGHT
18304,1265,GUN,RANGE
18305,1126,ASHLD,LEFT
18306,1013,SWORD,EITHER
18307,1095,STAFF,RGHT
18308,1076,BOW,RANGE
18309,2520,HEVARMOR,HELM
18310,2506,MEDARMOR,HELM
18311,2534,ROBE,HELM
18312,2492,LIGARMOR,HELM
18313,2520,HEVARMOR,HELM
18314,2492,LIGARMOR,HELM
18315,2534,ROBE,HELM
18316,2492,LIGARMOR,HELM
18317,2519,HEVARMOR,GLOV
18318,2505,MEDARMOR,GLOV
18319,2533,ROBE,GLOV
18320,2491,LIGARMOR,GLOV
18321,2519,HEVARMOR,GLOV
18322,2491,LIGARMOR,GLOV
18323,2533,ROBE,GLOV
18324,2491,LIGARMOR,GLOV
18325,2515,HEVARMOR,BODY
18326,2501,MEDARMOR,BODY
18327,2529,ROBE,BODY
18328,2487,LIGARMOR,BODY
18329,2515,HEVARMOR,BODY
18330,2487,LIGARMOR,BODY
18331,2529,ROBE,BODY
18332,2487,LIGARMOR,BODY
18333,2514,HEVARMOR,BOOT
18334,2500,MEDARMOR,BOOT
18335,2528,ROBE,BOOT
18336,2486,LIGARMOR,BOOT
18337,2514,HEVARMOR,BOOT
18338,2486,LIGARMOR,BOOT
18339,2528,ROBE,BOOT
18340,2486,LIGARMOR,BOOT
18341,2520,HEVARMOR,HELM
18342,2506,MEDARMOR,HELM
18343,2534,ROBE,HELM
18344,2492,LIGARMOR,HELM
18345,2520,HEVARMOR,HELM
18346,2492,LIGARMOR,HELM
18347,2534,ROBE,HELM
18348,2492,LIGARMOR,HELM
18349,1153,AXE,EITHER
18350,1177,HAMMER,EITHER
18351,1235,STAFF,RGHT
18352,1265,GUN,RANGE
18353,1013,SWORD,EITHER
18354,1009,AXE,EITHER
18355,1093,STAFF,RGHT
18356,1057,SPEAR,EITHER
18357,2488,NONE,BELT
18358,2488,NONE,BELT
18359,2488,NONE,BELT
18360,2488,NONE,BELT
18361,2488,NONE,BELT
18362,2488,NONE,BELT
18363,2488,NONE,BELT
18364,2488,NONE,BELT
18365,2517,HEVARMOR,SHOU
18366,2503,MEDARMOR,SHOU
18367,2531,ROBE,SHOU
18368,2489,LIGARMOR,SHOU
18369,2517,HEVARMOR,SHOU
18370,2489,LIGARMOR,SHOU
18371,2531,ROBE,SHOU
18372,2489,LIGARMOR,SHOU
18373,2515,HEVARMOR,BODY
18374,2501,MEDARMOR,BODY
18375,2529,ROBE,BODY
18376,2487,LIGARMOR,BODY
18377,2515,HEVARMOR,BODY
18378,2487,LIGARMOR,BODY
18379,2529,ROBE,BODY
18380,2487,LIGARMOR,BODY
18381,1951,NONE,BACK
18382,1951,NONE,BACK
18383,1951,NONE,BACK
18384,1951,NONE,BACK
18385,2519,HEVARMOR,GLOV
18386,2505,MEDARMOR,GLOV
18387,2533,ROBE,GLOV
18388,2491,LIGARMOR,GLOV
18389,2520,HEVARMOR,HELM
18390,2506,MEDARMOR,HELM
18391,2534,ROBE,HELM
18392,2492,LIGARMOR,HELM
18393,2514,HEVARMOR,BOOT
18394,2500,MEDARMOR,BOOT
18395,2528,ROBE,BOOT
18396,2486,LIGARMOR,BOOT
18397,1284,ASHLD,LEFT
18398,1219,HAMMER,RGHT
18399,1237,STAFF,RGHT
18400,1184,HAMMER,EITHER
18401,1161,AXE,EITHER
18402,1184,HAMMER,EITHER
18403,1237,STAFF,RGHT
18404,1266,GUN,RANGE
18405,2517,HEVARMOR,SHOU
18406,2503,MEDARMOR,SHOU
18407,2531,ROBE,SHOU
18408,2489,LIGARMOR,SHOU
18409,381,NONE,ACST
18410,381,NONE,ACST
18411,381,NONE,ACST
18412,381,NONE,ACST
18413,2515,HEVARMOR,BODY
18414,2501,MEDARMOR,BODY
18415,2529,ROBE,BODY
18416,2487,LIGARMOR,BODY
18417,2515,HEVARMOR,BODY
18418,2487,LIGARMOR,BODY
18419,2529,ROBE,BODY
18420,2487,LIGARMOR,BODY
18421,1258,ASHLD,LEFT
18422,1223,HAMMER,RGHT
18423,1236,STAFF,RGHT
18424,1266,GUN,RANGE
18425,1131,ASHLD,LEFT
18426,1071,SWORD,EITHER
18427,1092,STAFF,RGHT
18428,1077,BOW,RANGE
18429,381,NONE,ACST
18430,381,NONE,ACST
18431,381,NONE,ACST
18432,381,NONE,ACST
18433,2515,HEVARMOR,BODY
18434,2501,MEDARMOR,BODY
18435,2529,ROBE,BODY
18436,2487,LIGARMOR,BODY
18437,2517,HEVARMOR,SHOU
18438,2503,MEDARMOR,SHOU
18439,2531,ROBE,SHOU
18440,2489,LIGARMOR,SHOU
18441,2517,HEVARMOR,SHOU
18442,2489,LIGARMOR,SHOU
18443,2531,ROBE,SHOU
18444,2489,LIGARMOR,SHOU
18445,2514,HEVARMOR,BOOT
18446,2500,MEDARMOR,BOOT
18447,2528,ROBE,BOOT
18448,2486,LIGARMOR,BOOT
18449,2514,HEVARMOR,BOOT
18450,2486,LIGARMOR,BOOT
18451,2528,ROBE,BOOT
18452,2486,LIGARMOR,BOOT
18453,2517,HEVARMOR,SHOU
18454,2503,MEDARMOR,SHOU
18455,2531,ROBE,SHOU
18456,2489,LIGARMOR,SHOU
18457,2520,HEVARMOR,HELM
18458,2506,MEDARMOR,HELM
18459,2534,ROBE,HELM
18460,2492,LIGARMOR,HELM
18461,1160,AXE,EITHER
18462,1183,HAMMER,EITHER
18463,1236,STAFF,RGHT
18464,1183,HAMMER,EITHER
18465,2520,HEVARMOR,HELM
18466,2506,MEDARMOR,HELM
18467,2534,ROBE,HELM
18468,2492,LIGARMOR,HELM
18469,1286,ASHLD,LEFT
18470,1221,HAMMER,RGHT
18471,1236,STAFF,RGHT
18472,1266,GUN,RANGE
18473,2519,HEVARMOR,GLOV
18474,2505,MEDARMOR,GLOV
18475,2533,ROBE,GLOV
18476,2491,LIGARMOR,GLOV
18477,2515,HEVARMOR,BODY
18478,2501,MEDARMOR,BODY
18479,2529,ROBE,BODY
18480,2487,LIGARMOR,BODY
18481,1160,AXE,EITHER
18482,1183,HAMMER,EITHER
18483,1237,STAFF,RGHT
18484,1266,GUN,RANGE
18485,2515,HEVARMOR,BODY
18486,2501,MEDARMOR,BODY
18487,2529,ROBE,BODY
18488,2487,LIGARMOR,BODY
18489,2515,HEVARMOR,BODY
18490,2487,LIGARMOR,BODY
18491,2529,ROBE,BODY
18492,2487,LIGARMOR,BODY
18493,2488,NONE,BELT
18494,2488,NONE,BELT
18495,2488,NONE,BELT
18496,2488,NONE,BELT
18497,2488,NONE,BELT
18498,2488,NONE,BELT
18499,2488,NONE,BELT
18500,2488,NONE,BELT
18501,2488,NONE,BELT
18502,2488,NONE,BELT
18503,2488,NONE,BELT
18504,2488,NONE,BELT
18505,2488,NONE,BELT
18506,2488,NONE,BELT
18507,2488,NONE,BELT
18508,2488,NONE,BELT
18509,2515,HEVARMOR,BODY
18510,2501,MEDARMOR,BODY
18511,2529,ROBE,BODY
18512,2487,LIGARMOR,BODY
18513,2515,HEVARMOR,BODY
18514,2487,LIGARMOR,BODY
18515,2529,ROBE,BODY
18516,2487,LIGARMOR,BODY
18517,2514,HEVARMOR,BOOT
18518,2500,MEDARMOR,BOOT
18519,2528,ROBE,BOOT
18520,2486,LIGARMOR,BOOT
18521,2514,HEVARMOR,BOOT
18522,2500,MEDARMOR,BOOT
18523,2528,ROBE,BOOT
18524,2486,LIGARMOR,BOOT
18525,2520,HEVARMOR,HELM
18526,2506,MEDARMOR,HELM
18527,2534,ROBE,HELM
18528,2492,LIGARMOR,HELM
18529,2520,HEVARMOR,HELM
18530,2492,LIGARMOR,HELM
18531,2534,ROBE,HELM
18532,2492,LIGARMOR,HELM
18533,1284,ASHLD,LEFT
18534,1223,HAMMER,RGHT
18535,1237,STAFF,RGHT
18536,1184,HAMMER,EITHER
18537,1083,AXE,RGHT
18538,1029,SWORD,EITHER
18539,1100,STAFF,RGHT
18540,1058,SPEAR,EITHER
18541,2519,HEVARMOR,GLOV
18542,2505,MEDARMOR,GLOV
18543,2533,ROBE,GLOV
18544,2491,LIGARMOR,GLOV
18545,2519,HEVARMOR,GLOV
18546,2491,LIGARMOR,GLOV
18547,2533,ROBE,GLOV
18548,2491,LIGARMOR,GLOV
18549,2515,HEVARMOR,BODY
18550,2501,MEDARMOR,BODY
18551,2529,ROBE,BODY
18552,2487,LIGARMOR,BODY
18553,2515,HEVARMOR,BODY
18554,2487,LIGARMOR,BODY
18555,2529,ROBE,BODY
18556,2487,LIGARMOR,BODY
18557,2517,HEVARMOR,SHOU
18558,2503,MEDARMOR,SHOU
18559,2531,ROBE,SHOU
18560,2489,LIGARMOR,SHOU
18561,2514,HEVARMOR,BOOT
18562,2500,MEDARMOR,BOOT
18563,2533,ROBE,GLOV
18564,2486,LIGARMOR,BOOT
18565,2514,HEVARMOR,BOOT
18566,2500,MEDARMOR,BOOT
18567,2528,MROBE,BOOT
18568,2486,LIGARMOR,BOOT
18569,1160,AXE,EITHER
18570,1184,HAMMER,EITHER
18571,1237,STAFF,RGHT
18572,1266,GUN,RANGE
18573,2520,HEVARMOR,HELM
18574,2506,MEDARMOR,HELM
18575,2534,MROBE,HELM
18576,2492,LIGARMOR,HELM
18577,2520,HEVARMOR,HELM
18578,2506,MEDARMOR,HELM
18579,2534,ROBE,HELM
18580,2492,LIGARMOR,HELM
18581,2517,HEVARMOR,SHOU
18582,2503,MEDARMOR,SHOU
18583,2531,MROBE,SHOU
18584,2489,LIGARMOR,SHOU
18585,2517,HEVARMOR,SHOU
18586,2503,MEDARMOR,SHOU
18587,2531,ROBE,SHOU
18588,2489,LIGARMOR,SHOU
18589,2519,HEVARMOR,GLOV
18590,2505,MEDARMOR,GLOV
18591,2533,MROBE,GLOV
18592,2491,LIGARMOR,GLOV
18593,2517,HEVARMOR,SHOU
18594,2503,MEDARMOR,SHOU
18595,2531,MROBE,SHOU
18596,2489,LIGARMOR,SHOU
18597,1286,ASHLD,LEFT
18598,1220,HAMMER,RGHT
18599,1237,STAFF,RGHT
18600,1266,GUN,RANGE
18601,1131,ASHLD,LEFT
18602,1007,AXE,EITHER
18603,1092,STAFF,RGHT
18604,1077,BOW,RANGE
18605,1951,NONE,BACK
18606,1951,NONE,BACK
18607,1951,NONE,BACK
18608,1951,NONE,BACK
18609,1951,NONE,BACK
18610,1951,NONE,BACK
18611,1951,NONE,BACK
18612,1951,NONE,BACK
18613,2515,HEVARMOR,BODY
18614,2501,MEDARMOR,BODY
18615,2529,MROBE,BODY
18616,2487,LIGARMOR,BODY
18617,2515,HEVARMOR,BODY
18618,2501,MEDARMOR,BODY
18619,2529,ROBE,BODY
18620,2487,LIGARMOR,BODY
18621,2520,HEVARMOR,HELM
18622,2506,MEDARMOR,HELM
18623,2534,MROBE,HELM
18624,2492,LIGARMOR,HELM
18625,2520,HEVARMOR,HELM
18626,2506,MEDARMOR,HELM
18627,2534,ROBE,HELM
18628,2492,LIGARMOR,HELM
18629,2514,HEVARMOR,BOOT
18630,2500,MEDARMOR,BOOT
18631,2528,MROBE,BOOT
18632,2486,LIGARMOR,BOOT
18633,2514,HEVARMOR,BOOT
18634,2500,MEDARMOR,BOOT
18635,2528,ROBE,BOOT
18636,2486,LIGARMOR,BOOT
18637,1161,AXE,EITHER
18638,1185,HAMMER,EITHER
18639,1237,STAFF,RGHT
18640,1182,HAMMER,EITHER
18641,1049,HAMMER,EITHER
18642,1070,SWORD,EITHER
18643,1100,STAFF,RGHT
18644,1058,SPEAR,EITHER
18645,381,NONE,ACST
18646,381,NONE,ACST
18647,381,NONE,ACST
18648,381,NONE,ACST
18649,381,NONE,ACST
18650,381,NONE,ACST
18651,381,NONE,ACST
18652,381,NONE,ACST
18653,1307,ASHLD,LEFT
18654,1222,HAMMER,RGHT
18655,1236,STAFF,RGHT
18656,1266,GUN,RANGE
18657,1132,ASHLD,LEFT
18658,1015,SWORD,EITHER
