Effect Id,Vfx Id,Type,Id,Description:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3217,1,0,0,Words of Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3218,1,0,1250,Grave Dust - One off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3218,1,0,790,Grave Dust - Looping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3219,1,0,628,Intoxication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3220,1,0,256,Blood Frenzy - Persistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3220,2,0,162,Blood Frenzy - Weaon Trail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3221,1,0,55,Throat Punch - Stun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3221,1,1,52,Throat Punch - Stun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3222,1,0,,Breath of Chance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3223,1,0,,Wind of Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3224,1,0,,Windblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3225,1,0,,Call of Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3226,1,0,1306,Blood Drain - Dot Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3227,1,0,259,Hargan's Mead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3227,1,1,112,Hargan's Mead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3228,1,0,121,Looping Cloud Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3228,2,0,568,Cone Dirt Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3228,3,0,114,Kick Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3228,4,0,55,Looping Stun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3229,1,0,413,Death and Decay - Cast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3229,2,0,814,Death and Decay - Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3230,1,0,1162,Weak Knees - Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3232,1,0,175,Bloodied Hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3234,1,0,2121,Whiskey Legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3235,1,0,2021,Whiskey Courage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3236,1,0,1,Blood Stomp - Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3236,1,0,55,Blood Stomp - Stun Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3236,1,1,52,Blood Stomp - Stunned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3237,1,0,55,Stom - Stun Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3237,1,1,52,Blood Stomp - Stunned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3238,1,0,389,Bloody Roar - Silence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3239,1,0,256,Frenzy - Persistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3239,2,0,162,Frenzy - Weapon Trail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3241,1,0,791,Pummel - Stun Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3241,1,1,52,Pummel - Stunned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3242,1,0,2091,Blood Blessing - Buff Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3243,1,0,48,Blood Sweep - Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3244,1,0,334,Slaurith's Regard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3245,1,0,813,Slaurith's Target - Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3246,1,0,1306,Bleeding Shout - Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3247,1,0,27,Blood Shards - Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3248,1,0,1135,Volatile Injection - Persistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3248,1,0,2237,Volatile Injection - Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3249,1,0,2955,Volatile Burst - Cast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3251,1,0,256,Blood Rage - Persistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3252,1,0,256,Blood Rage - Persistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3253,1,0,1340,Mark of Grimnir - Persistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3254,1,0,371,Winter's Embrace - Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3256,1,0,654,Grimnir's Plague - Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3257,1,0,1554,Deathsword Relic - Persistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3258,1,0,425,Heart of Rebellion - Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3263,1,0,1760,Concentrated Fire - Cast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3264,1,0,1766,Grape Shot - Cast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3265,1,0,2281,Heavy Lifting - Persistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,1,0,979,VFX - Ability 5833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,2,0,335,VFX - Ability 5881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,3,0,2352,VFX - Ability 5885 (cast),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,4,0,2353,VFX - Ability 5885 (impact),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,5,0,2346,VFX - Ability 5885 (impact 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,6,0,442,VFX - Ability 5867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,7,0,999,VFX - Ability 13503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,8,0,413,VFX - Ability 13504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,8,0,387,VFX - Ability 13504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,9,0,1784,VFX - Ability 13517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,10,0,1785,VFX - Ability 13518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,11,0,1281,VFX - Ability 13596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,12,0,2094,VFX - Ability 13597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,12,0,2095,VFX - Ability 13597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,13,0,1481,VFX - Ability 13803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,14,0,171,VFX - Ability 13803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,15,0,2964,VFX - Ability 13816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,16,0,1583,Scarab Swarm looping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,17,0,1866,Scarab Swarm impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3267,1,0,2298,Horrific Extraction - Looping 'Orb' effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3268,1,0,1340,Radiant Fire - Persistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3269,1,0,258,Indecision - Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3270,1,0,0,Raven's Blessing - Cast Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3271,1,0,565,Blinding Flash - Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3271,1,0,55,Blinding Flash - Stunned Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3271,1,1,52,Blinding Flash - Stunned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3272,1,0,1012,Cauldron Spawn - Green Aura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3273,0,0,115,Infectious Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3274,1,0,19,Warpwind Ague,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3275,1,0,564,Bloodstorm - Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3276,2,0,64,Bloodstorm - Heal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3277,1,0,1522,Plague Lash - Possible Extra Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3283,1,0,1220,Skull Stone - Aura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3283,2,0,1301,Skull Stone - DoT Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3284,1,0,264,Explosive Death - Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3285,1,0,1627,Loyal Sergeant - Gauntlet Mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3289,1,0,2230,Life Infusion - Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3293,1,0,999,Raven's Wing - Disorient Loop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3293,2,0,843,Raven's Wing - Disorient Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3294,1,0,581,Worm Ground Distortion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3295,1,0,55,Low Blow - Stun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3297,1,0,1033,Blinding Faith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3298,1,0,435,Guiding Faith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3307,1,0,1324,Franz Guard - Single Target Knockdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3307,1,1,54,Franz Guard - Single Target Knockdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3309,1,0,1706,Karl Franz - Holy Nova Effect on Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3309,2,0,1708,Karl Franz - Holy Nova Explosion Off Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3309,3,0,762,Karl Franz - Holy Nova Explosion Impact Off Explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3311,1,0,1633,Karl Franz - Looping Whirlwind Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3312,1,0,55,Karl Franz Mounted - Silence Scream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3314,1,0,1703,Karl Franz Comet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3315,1,0,1707,Karl Franz - Divine Wrath Effect on Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3315,2,0,1708,Karl Franz - Divine Wrath Explosion Off Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3315,3,0,762,Karl Franz - Divine Wrath Explosion Impact Off Explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3317,1,0,562,Deathclaw - Silence Scream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3318,1,0,1704,Deathclaw - Looping Wing Buffet Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3320,1,0,1704,Deathclaw - Looping Wing Buffet Mounted Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3321,1,0,2944,Arrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3322,1,0,2944,Silvshana Arrow Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3323,1,0,3424,Syndriel Mark (AlwaysShow=1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3323,2,0,2944,Syndriel Arrow Storm (AlwaysShow=1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3323,3,0,559,Syndriel Arrow Storm Individual Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3324,1,1,52,Smoke Bomb Stun Anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3324,1,0,55,Smoke Bomb Stun Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3325,1,1,52,Creeping Death Stun Anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3325,1,0,55,Creeping Death Stun Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3328,6,0,1648,Ability #13501 - Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3330,1,1,54,Knockdown Anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332,1,0,1713,Karl Franz - Avatar Glow Stage 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3333,1,0,1711,Karl Franz - Avatar Glow Stage 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3334,1,0,1392,Karl Franz - Avatar of Sigmar Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3339,1,0,1837,Spider Queen Webbing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3342,1,0,223,Whitefire Webbing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3345,1,0,1633,Painfury Whirlwind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3349,1,0,1744,Keeper's Desire Tank Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3350,1,0,1743,Keeper's Desire Healer Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3351,1,0,1745,Keeper's Desire DPS Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3355,1,0,2139,Goo Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3359,1,0,788,Channelled Missle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3359,1,0,790,Channelled Missle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3363,1,0,558,Spider Repeating Hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3363,2,1,68,Swing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3365,1,0,1842,Splitting Pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3371,1,0,1840,Writhing Musk Glow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381,1,0,538,Writhing Pain Font,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,1,0,539,Writhing Pleasure Font,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3385,1,0,502,Snare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3387,1,0,55,Derisolde the Undead Knockdown (effect),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3387,1,1,52,Derisolde the Undead Knockdown (anim),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3388,1,0,1721,TornadoFire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3389,1,0,1722,TornadoWind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3390,1,0,1723,TornadoWater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391,1,0,2116,Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391,2,0,2150,AOE Ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3393,1,0,1355,Breath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399,1,0,1386,Tchar'zanek Stun Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399,1,1,52,Stun Anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,1,0,328,Sprite Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3401,1,0,328,I'm On Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3402,1,0,1227,Stillness of Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3402,1,0,1558,Stillness of Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3406,1,0,1844,Poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3407,1,0,2189,Acid AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3407,2,0,1279,Acid AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3412,1,0,1744,Promise loop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413,1,0,1745,Doubt Loop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3414,1,0,1857,Fate Aura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3414,1,0,1859,Fate Aura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3414,2,0,1860,Fate Kill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3415,1,0,1043,Time Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3416,1,0,1170,Captain Syrkin's Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3417,1,0,175,Thardrik's Retribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3418,1,0,1642,Furious Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,1,0,1846,Sleeping Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,2,1,52,Stun Anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3421,1,0,49,Throw Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3425,1,0,1851,Keeper Seed explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3425,2,0,1853,Keeper Seed explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3426,1,0,2208,Pestilent Bolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3427,1,0,173,Root Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3428,1,0,1818,AoeE Ground Effect defining area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3428,2,0,176,Roots that whip the targets in the area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3428,2,0,561,Impact on the target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3428,3,0,1821,Impact on the target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,5,0,1822,Channeled beam on Treeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,6,0,1825,Channeled Aura on Treeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,7,0,2952,Verrimus AOE Buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,8,0,2953,Verrimus Debuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,9,0,1993,Reanim - tether beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,9,0,1994,Reanim - tether impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,10,0,558,Reanim - tether impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,11,0,1592,Giant Fall dust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,12,0,970,Giant Fall screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,13,0,1905,Curse Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,14,0,1906,Curse Immunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,15,0,3023,Invis Glowy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3430,5,0,1823,Channeled beam on Treeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3430,6,0,1824,Channeled FIG on Treeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3430,6,0,1825,Channeled Aura on Treeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3430,7,0,2954,Zakarai Debuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3433,1,0,2946,AE Splash Damage DoT from Giant Fireball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3437,1,0,1,Yeti KB - impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3439,1,0,153,Spirit Breath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3440,1,0,130,Poison Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3441,1,0,130,Poison Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3441,2,0,83,Poisoned Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3442,1,0,130,Poison Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3442,2,0,2119,AOE impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3443,1,0,130,Poison Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3443,2,0,83,Poisoned Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3443,3,0,2110,AoE impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3445,1,0,824,Corporeal Disable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446,1,0,130,Poison Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446,1,0,130,Poison Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446,2,0,83,Poisoned Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447,7,0,824,Corporeal Disable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448,1,0,502,Poison Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3449,1,0,130,Poison Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461,1,0,969,Horn Rush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461,1,0,567,Horn Rush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3462,1,0,2137,Grimgor's Buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3478,1,0,2265,Foul Wound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3478,2,0,2261,Foul Wound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3479,1,0,820,Rock Skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3480,1,0,1568,Electric Skin AOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3481,1,0,2139,Acidic Muck (Dummy Effect on Caster),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3481,2,0,2263,Acidic Muck (Dmg Effect on Target),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3482,1,0,2054,Squig Commanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3485,1,0,1184,Smash 'Em 'Ard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3485,2,0,2255,smash 'Em 'Ard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3491,1,0,1751,Knock Up explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3491,2,0,1752,Knock Up explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3491,3,0,1753,Knock Up explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3498,1,0,537,Shout multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3499,2,0,969,Stomp multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3499,1,0,1642,Slam multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3582,2,0,1283,Looping effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3586,1,0,559,impact Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3586,2,0,1029,Healing effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3588,1,0,659,AoE effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3588,2,0,407,impact Effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3589,1,0,1613,Snare effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
