,,,,0,Buff,Build Up,Action,Special,Play,Mount Build,MountAction,ActivateAgro,Suppress,Force in phase to be ## seconds,Max Playback Rate,,,,
1234,Monument of Courage,,,7916,7916,,32,1234,1,,,0,,,,,,,
1235,Monument of Honor,,,8001,8001,,32,1235,1,,,0,,,,,,,
1236,Monument of Fortitude,,,8000,8000,,32,1236,1,,,0,,,,,,,
1237,Unflinching Honor,,,5125,0,,70,1237,1,,,0,,,,,,,
1238,Pain Aura,,,5125,5125,,32,1238,1,,,1,,,,,,,
1239,Pleasure Aura,,,5125,5125,,32,1239,1,,,1,,,,,,,
1240,Luck Gnoblar,,,2616,2616,,32,1240,1,,,0,,,,,,,
1241,Ursan's Strength,,,10925,10925,,32,1241,1,,,0,,,,,,,
1242,Gut Spew,,,5144,5144,,32,1242,0,,,0,,,,,,,
1243,Graybark Vengeance,,,2578,2578,,70,1243,1,,,1,,,,,,,
1244,Lashing Wind,Lady Grimgyre Lair,]cast 22910,5125,5125,,72,1244,1,,,1,,,,,,,
1245,Anas,,,5125,5125,,,1245,,,,,,,,,,,
1246,Anas,,,5125,5125,,,1246,,,,,,,,,,,
1247,Anas,,,5125,5125,,,1247,,,,,,,,,,,
1248,Anas,,,5125,5125,,,1248,,,,,,,,,,,
1249,Anas,,,5125,5125,,,1249,,,,,,,,,,,
,,,,,,,,0,,,,1,,,,,,,
;,Monster Abilities / End (1250),,,,,,,;,,,,1,,,,,,,
;,;Squig Herder Abilities,,,,,,,;,,,,1,,,,,,,
1251,Stabbity,,,2540,2540,,49,1251,1,,,1,,,,,,,
1252,Plink,,,2538,2538,,72,1252,1,,,1,,,,,,,
1253,Yer Bleedin'!,,,2625,2625,,68,1253,1,,,1,,,,,,,
1254,Poison Arrer,,,2589,2589,,72,1254,1,,,1,,,,,,,
1255,Git Em!,,,2478,2478,,26,1255,1,,,1,,,,,,,
1256,Stop Runnin!,,,2617,2617,,71,1256,1,,,1,,,,,,,
1257,Explodin' Arrer,,,2590,2590,,72,1257,1,,,1,,1,,,,,
1258,Don't Eat Me,,,2477,2477,,122,1258,1,,,1,,,,,,,
1259,Farty Squig,,,2484,2484,,69,1259,1,,,1,,,,,,,
1260,Cut Ya!,,,2591,2591,,29,1260,1,,,1,,,,,,,
1261,Sticky Squigz,,,2592,2592,,73,1261,1,,,1,,,,,,,
1262,Run 'n Shoot,,,2593,2593,,71,1262,1,,,1,,,,,,,
1263,Squig Frenzy,,,2594,2594,,74,1263,1,,,1,,,,,,,
1264,Choking Arrer,,,2595,2595,,72,1264,1,,,1,,,,,,,
1265,Not So Fast!,,,2596,2596,,72,1265,1,,,1,,,,,,,
1266,Tastes Like Chicken,,,2597,2597,,73,1266,1,,,1,,,,,,,
1267,Drop That!!,,,2598,2598,,74,1267,1,,,1,,,,,,,
1268,Squig Armor,,,2599,2599,,75,1268,1,,,1,,,,,,,
1269,Shoot Thru Ya,,,2489,2489,,71,1269,1,,,1,,,,,,,
1270,Lots o' Arrers,,,4529,4529,,71,1270,1,,,1,,0.5,,,,,
1271,Summon Squig,,,2475,2475,,31,1271,1,,,1,,,,,,,
1272,Horned Squig,,,2488,2488,,31,1272,1,,,1,,,,,,,
1273,Gas Squig,,,2507,2507,,31,1273,1,,,1,,,,,,,
1274,Spiked Squig,,,2483,2483,,31,1274,1,,,1,,,,,,,
1275,Indigestion,,,2629,2629,,69,1275,1,,,1,,,,,,,
1276,;Squig Herder Spec Abilities,,,,,,,1276,,,,1,,,,,,,
1277,Shrapnel Arrer,,,2612,2612,,72,1277,1,,,1,,,,,,,
1278,What Blocka?,,,2613,2613,,71,1278,1,,,1,,,,,,,
1279,Finish 'em Off.,,,2614,2614,,71,1279,1,,,1,,,,,,,
1280,Don't Hit Me!,,,2615,2615,,35,1280,1,,,1,,,,,,,
1281,Bad Gas!,,,2608,2608,,69,1281,1,,,1,,,,,,,
1282,Big Bouncin!,,,2508,2508,,70,1282,1,,,1,,,,,,,
1283,Run Away!,,,2618,2618,,69,1283,1,,,1,,,,,,,
1284,Rotten Arrer,,,2619,2619,,68,1284,1,,,1,,,,,,,
1285,Behind Ya!,,,2620,2620,,67,1285,1,,,1,,,,,,,
;,;Squig Herder Tactics,,,,,,,;,,,,1,,,,,,,
1286,Strength In Numbas,,,22708,22708,,32,1286,1,,,0,,,,,,,
1287,Clever Shootin',,,22697,22697,,32,1287,1,,,0,,,,,,,
1288,Sharp Toofs,,,22697,22697,,32,1288,1,,,0,,,,,,,
1289,He's A Biggun',,,22702,22702,,32,1289,1,,,0,,,,,,,
1290,All By Meself,,,22697,22697,,32,1290,1,,,0,,,,,,,
1291,Sharpened Arrers,,,22697,22697,,32,1291,1,,,0,,,,,,,
1292,I Got Lots,,,22694,22694,,32,1292,1,,,0,,,,,,,
1293,Da Smell Don't Bother Me,,,22709,22709,,32,1293,1,,,0,,,,,,,
1294,,,,,,,,1294,,,,1,,,,,,,
1295,,,,,,,,1295,,,,1,,,,,,,
1296,;Squig Herder Spec Tactics,,,,,,,1296,,,,1,,,,,,,
1297,Aimin' Quickly,,,22704,22704,,32,1297,1,,,0,,,,,,,
1298,Clever Stabbin',,,22701,22701,,32,1298,1,,,0,,,,,,,
1299,I Feelz Yer Pain,,,22706,22706,,32,1299,1,,,0,,,,,,,
1300,"'Ere, Squiggy!",,,22708,22708,,32,1300,1,,,0,,,,,,,
1301,Sneaky Stabbin,,,22701,22701,,32,1301,1,,,0,,,,,,,
1302,Pick On Yer Own Size,,,22702,22702,,32,1302,1,,,0,,,,,,,
1303,Splinterin' Arrers,,,22697,22697,,32,1303,1,,,0,,,,,,,
1304,Da Waaagh Iz Strong,,,22694,22694,,32,1304,1,,,0,,,,,,,
1305,Shootin' Wif Da Wind,,,22709,22709,,32,1305,1,,,0,,,,,,,
;,;Squig Herder Morale,,,,,,,;,,,,1,,,,,,,
1306,Soothin' Mushroom Wrap,,,2482,2482,,73,1306,1,,,1,,,,,,,
1307,Squig Goo,,,4506,4506,,73,1307,1,,,1,,,,,,,
1308,Squigbeast,,,2621,2621,,73,1308,1,,,1,,,,,,,
1309,,,,,,,,1309,,,,1,,,,,,,
1310,,,,,,,,1310,,,,1,,,,,,,
1311,;Squig Herder Morale,,,,,,,1311,,,,1,,,,,,,
1312,Lots Of Shootin',,,2622,2622,,72,1312,1,,,1,,0.5,,,,,
1313,Wind Up Da Waaagh,,,2623,2623,,33,1313,1,,,1,,,,,,,
1314,Arrer O' Mork,,,2624,2624,,68,1314,1,,,1,,,,,,,
1315,,,,,,,,1315,,,,1,,,,,,,
1316,,,,,,,,1316,,,,1,,,,,,,
1317,,,,,,,,1317,,,,1,,,,,,,
1318,,,,,,,,1318,,,,1,,,,,,,
1319,,,,,,,,1319,,,,1,,,,,,,
1320,,,,,,,,1320,,,,1,,,,,,,
1321,,,,,,,,1321,,,,1,,,,,,,
1322,,,,,,,,1322,,,,1,,,,,,,
1323,,,,,,,,1323,,,,1,,,,,,,
1324,,,,,,,,1324,,,,1,,,,,,,
1325,,,,,,,,1325,,,,1,,,,,,,
;,;Shaman Abilities,,,,,,,;,,,,1,,,,,,,
1326,Gork'll Fix It,,,2444,2444,,71,1326,1,,,1,,,,,,,
1327,Brain Bursta,,,2459,2459,,72,1327,1,,,1,,,,,,,
1328,Life Leaka,,,2575,2575,,74,1328,1,,,1,,,,,,,
1329,"'Ey, Quit Bleedin'",,,2576,2576,,74,1329,1,,,1,,,,,,,
1330,'Ere We Go!,,,2425,2425,,69,1330,1,,,1,,,,,,,
1331,Bunch o' Waaagh,,,2577,2577,,99,1331,1,,,1,1,,,,,,
1332,"Bigger, Better, An' Greener",,,2466,2466,,73,1332,1,,,1,,,,,,,
1333,Gork's Barbs',,,2578,2578,,71,1333,1,,,1,,0.5,,,,,
1334,Greener 'n Cleaner,,,2579,2579,,99,1334,1,,,1,,,,,,,
1335,Gather Round,,,2467,2467,,72,1335,1,,,1,,,,,,,
1336,Gedup!,,,2433,2433,,71,1336,1,,,1,,,,,,,
1337,Get'n Smarter,,,2580,2580,,99,1337,1,,,1,,,,,,,
1338,Mork's Buffer,,,2472,2472,,99,1338,1,,,1,,,,,,,
1339,Yer Not So Bad,,,2581,2581,,72,1339,1,,,1,,0.25,,,,,
1340,Bleed Fer' Me,,new 4/4/08,2582,2582,,99,1340,1,,,1,,,,,,,
1341,Big Waaagh!,,new 4/4/08,2498,2498,,99,1341,1,,,1,,,,,,,
1342,Eeeek!,,,2583,2583,,69,1342,1,,,1,,,,,,,
1343,Stop hittin' me!,,,2584,2584,,99,1343,1,,,1,,,,,,,
1344,You'z Squishy,,,2585,2585,,99,1344,1,,,1,,,,,,,
1345,You Got Nuthin!,,,2460,2460,,74,1345,1,,,1,,,,,,,
1346,Look Over There!,,new 7/31/08,2477,2477,,122,1346,1,,,1,,,,,,,
1347,,,,,,,,1347,,,,1,,,,,,,
1348,,,,,,,,1348,,,,1,,,,,,,
1349,,,,,,,,1349,,,,1,,,,,,,
1350,,,,,,,,1350,,,,1,,,,,,,
1351,,,,,,,,1351,,,,1,,,,,,,
1352,;Used for Lingering HoT Effect,,,2467,2467,,99,1352,1,,,1,,,,,,,
;,;Shaman Spec Abilities,,,,,,,;,,,,1,,,,,,,
1353,Do Sumfin Useful,,,2501,2501,,73,1353,1,,,1,,,,,,,
1354,Sticky Feetz,,,4543,4543,,99,1354,1,,,1,,,,,,,
1355,Shrug it off,,,2463,2463,,99,1355,1,,,1,,,,,,,
1356,Geddoff!,,,2456,2456,,99,1356,1,,,1,,,,,,,
1357,I'll Take That!,,,2464,2464,,74,1357,1,,,1,,,,,,,
1358,Da Waaagh! Is Coming,,,2403,2403,,71,1358,1,,,1,,,,,,,
1359,Don' Feel Nuthin,,,2534,2534,,99,1359,1,,,1,,,,,,,
1360,Scuse me!,,,2500,2500,,99,1360,1,,,1,,0.5,,,,,
1361,Yer A Weaklin',,,2504,2504,,75,1361,1,,,1,,,,,,,
1362,Fury of Da Green,,,7996,7996,,99,1362,1,,,1,,,,,,,
1363,,,,,,,,1363,,,,1,,,,,,,
;,;Shaman Tactics,,,,,,,;,,,,1,,,,,,,
1364,Burst O' Waaagh!,,,22707,22707,,32,1364,1,,,0,,,,,,,
1365,Ain't Done Yet!,,,22707,22707,,32,1365,1,,,0,,,,,,,
1366,Extra Special Mushrooms,,,22708,22708,,32,1366,1,,,0,,,,,,,
1367,Dat Makes Me Dizzy,,,22703,22703,,32,1367,1,,,0,,,,,,,
1368,Mork Is Watchin',,,22704,22704,,32,1368,1,,,0,,,,,,,
1369,Lookit What I Did!,,,22708,22708,,32,1369,1,,,0,,,,,,,
1370,Get Movin'!,,,22704,22704,,32,1370,1,,,0,,,,,,,
1371,Nuthin' But Da WAAAGH!,,,22703,22703,,32,1371,1,,,0,,,,,,,
1372,,,,,,,,1372,,,,1,,,,,,,
1373,,,,,,,,1373,,,,1,,,,,,,
1374,;Shaman Spec Tactics,,,,,,,1374,,,,1,,,,,,,
1375,Green Cleanin',,,22706,22706,,32,1375,1,,,0,,,,,,,
1376,Git Outta Here!,,,22694,22694,,32,1376,1,,,0,,,,,,,
1377,Pass It On,,,22706,22706,,32,1377,1,,,0,,,,,,,
1378,Leaky Brainz,,,22695,22695,,32,1378,1,,,0,,,,,,,
1379,"Hurts, Don't It?",,,22704,22704,,32,1379,1,,,0,,,,,,,
1380,Mork's Touch,,,22696,22696,,32,1380,1,,,0,,,,,,,
1381,Waaagh! Frenzy,,,22694,22694,,32,1381,1,,,0,,,,,,,
1382,You Really Got Nothin,,,22708,22708,,32,1382,1,,,0,,,,,,,
1383,Ere We Goes Again,,,22703,22703,,32,1383,1,,,0,,,,,,,
1384,,,,,,,,1384,,,,1,,,,,,,
1385,,,,,,,,1385,,,,1,,,,,,,
1386,,,,,,,,1386,,,,1,,,,,,,
1387,,,,,,,,1387,,,,1,,,,,,,
1388,,,,,,,,1388,,,,1,,,,,,,
1389,;Shaman Morale,,,,,,,1389,,,,1,,,,,,,
1390,Gork Sez Stop,,,2505,2505,,75,1390,1,,,1,,,,,,,
1391,Breath of Mork,,,2462,2462,,72,1391,1,,,1,,0.5,,,,,
1392,You Weren't Using Dat,,,2506,2506,,74,1392,1,,,1,,,,,,,
1393,,,,,,,,1393,,,,1,,,,,,,
1394,,,,,,,,1394,,,,1,,,,,,,
1395,;Shaman Spec Morale,,,,,,,1395,,,,1,,,,,,,
1396,Feelz No Pain,,,2586,2586,,99,1396,1,,,1,,,,,,,
1397,Fists of Gork,,,2545,2545,,72,1397,1,,,1,,0.5,,,,,
1398,Steal Yer Thunder,,,2588,2588,,99,1398,1,,,1,,,,,,,
1399,,,,,,,,1399,,,,1,,,,,,,
1400,,,,,,,,1400,,,,1,,,,,,,
;,;/end,,,,,,,;,,,,1,,,,,,,
;,;Knight Abilities,,,,,,,;,,,,1,,,,,,,
1401,Sunder,,,7990,7990,,48,1401,1,,,1,,,,,,,
1402,Throw Blade,,,7992,7992,,23,1402,1,,,1,,,,,,,
1403,Press The Attack!,,,7995,7995,,32,1403,1,,,1,,,,,,,
1404,Precise Strike,,,8068,8068,,49,1404,1,,,1,,,,,,,
1405,Stand Strong!,,,8075,8075,,32,1405,1,,,1,,,,,,,
1406,Blazing Blade,,,8006,8006,,35,1406,1,,,1,,,,,,,
1407,Gather Your Resolve!,,,8002,8002,,32,1407,1,,,1,,,,,,,
1408,Vicious Slash,,,7999,7999,,39,1408,1,,,1,,,,,,,
1409,Taunt,,,7994,7994,,74,1409,1,,,1,,,,,,,
1410,Shield Rush,,Change to AA (done 12-2 -jerO),8009,8009,,26,1410,1,,,1,,,,,,,
1411,Crippling Blow,,,7945,7945,,34,1411,1,,,1,,,,,,,
1412,Guard,,,8078,8078,,74,1412,1,,,1,,,,,,,
1413,Hold The Line!,,,7997,7997,,75,1413,1,,,1,,,,,,,
1414,Back To Back!,,,7991,7991,,32,1414,1,,,1,,,,,,,
1415,What Doesn't Kill Me...,,,8067,8067,,76,1415,1,,,1,,,,,,,
1416,Repel Darkness,,,7961,7961,,35,1416,1,,,1,,,,,,,
1417,Smashing Riposte,,to aa as req,8072,8072,,26,1417,1,,,1,,,,,,,
1418,Juggernaut,,,8062,8062,,76,1418,1,,,1,,,,,,,
1419,Stay Focused!,,,8003,8003,,32,1419,1,,,1,,,,,,,
1420,Challenge,,,8058,8058,,69,1420,1,,,1,,,,,,,
1421,All Out Assault!,,,7996,7996,,32,1421,1,,,1,,,,,,,
1422,Shatter Confidence,,,8010,8010,,47,1422,1,,,1,,,,,,,
1423,Stand And Fight,,to brandish as req,8005,8005,,73,1423,1,,,1,,,,,,,
1424,Shield Of The Sun,,,8070,8070,,73,1424,1,,,1,,,,,,,
1425,Arcing Swing,,,8057,8057,,28,1425,1,,,1,,,,,,,
1426,,,,,,,,1426,,,,1,,,,,,,
1427,,,,,,,,1427,,,,1,,,,,,,
1428,;Knight Spec Abilities,,,,,,,1428,,,,1,,,,,,,
1429,To Glory!,,,8076,8076,,32,1429,1,,,1,,,,,,,
1430,Myrmidia's Fury,,,8063,8063,,98,1430,1,,,1,,,,,,,
1431,Staggering Impact,,to brandish as req,8074,8074,,73,1431,1,,,1,,,,,,,
1432,To Victory!,,,8007,8007,,32,1432,1,,,1,,,,,,,
1433,Vigilance,,to brandish as req,8078,8078,,73,1433,1,,,1,,,,,,,
1434,Shining Blade,,,8071,8071,,49,1434,1,,,1,,,,,,,
1435,Now's Our Chance!,,,8066,8066,,32,1435,1,,,1,,,,,,,
1436,Unbalancing Attack,,,8077,8077,,26,1436,1,,,1,,,,,,,
1437,Heaven's Fury,,,8061,8061,,47,1437,1,,,1,,,,,,,
1438,,,,,,,,1438,,,,1,,,,,,,
1439,,,,,,,,1439,,,,1,,,,,,,
;,;Knight Tactics,,,,,,,;,,,,1,,,,,,,
1440,Gilded Shield,,,22702,22702,,32,1440,1,,,1,,,,,,,
1441,Runefang,,,22708,22708,,32,1441,1,,,1,,,,,,,
1442,Biting Blade,,,22701,22701,,32,1442,1,,,1,,,,,,,
1443,Sun's Blessing,,,22709,22709,,32,1443,1,,,1,,,,,,,
1444,Well-Trained,,,22704,22704,,32,1444,1,,,1,,,,,,,
1445,Banish Darkness,,,22703,22703,,32,1445,1,,,1,,,,,,,
1446,Bellow Commands,,,22715,22715,,32,1446,1,,,1,,,,,,,
1447,Destroy Confidence,,,22698,22698,,32,1447,1,,,1,,,,,,,
1448,,,,,,,,1448,,,,1,,,,,,,
1449,,,,,,,,1449,,,,1,,,,,,,
1450,;Knight Spec Tactics,,,,,,,1450,,,,1,,,,,,,
1451,Efficient Swings,,,22694,22694,,32,1451,1,,,1,,,,,,,
1452,Encouraged Aim,,,22701,22701,,32,1452,1,,,1,,,,,,,
1453,Slice Through,,,22709,22709,,32,1453,1,,,1,,,,,,,
1454,Coordination,,,22706,22706,,32,1454,1,,,1,,,,,,,
1455,Backswing,,,22704,22704,,32,1455,1,,,1,,,,,,,
1456,Laurels Of Victory,,,22713,22713,,32,1456,1,,,1,,,,,,,
1457,Sunfury,,,22702,22702,,32,1457,1,,,1,,,,,,,
1458,Focused Mending,,,22706,22706,,32,1458,1,,,1,,,,,,,
1459,Mighty Soul,,,22715,22715,,32,1459,1,,,1,,,,,,,
1460,,,,,,,,1460,,,,1,,,,,,,
1461,,,,,,,,1461,,,,1,,,,,,,
1462,,,,,,,,1462,,,,1,,,,,,,
1463,,,,,,,,1463,,,,1,,,,,,,
1464,,,,,,,,1464,,,,1,,,,,,,
;,;Knight Morale,,,,,,,;,,,,1,,,,,,,
1465,Guardian Of Light,,,8060,8060,,99,1465,1,,,1,,,,,,,
1466,No Escape,shout?,,8064,8064,,99,1466,1,,,1,,,,,,,
1467,Emperor's Champion,,,8011,8011,,99,1467,1,,,1,,,,,,,
1468,,,,,,,,1468,,,,1,,,,,,,
1469,,,,,,,,1469,,,,1,,,,,,,
1470,;Knight Spec Morale,,,,,,,1470,,,,1,,,,,,,
1471,Nova Strike,,,8065,8065,,99,1471,1,,,1,,,,,,,
1472,Flawless Defense,halt/aa?/brandish?,,8059,8059,,99,1472,1,,,1,,,,,,,
1473,Solar Flare,brandish,,8073,8073,,99,1473,1,,,1,,,,,,,
1474,,,,,,,,1474,,,,1,,,,,,,
1475,,,,,,,,1475,,,,1,,,,,,,
;,;Witch Hunter Abilities,,,,,,,;,,,,1,,,,,,,
1476,Snap Shot,,,7966,7966,,72,1476,1,,,1,,,,,,,
1477,Razor Strike,,,7965,7965,,40,1477,1,,,1,,,,,,,
1478,Absolution,,,8051,8051,,72,1478,1,,,1,,0.5,,,,,
1479,Fervor,,,8052,8052,,29,1479,1,,,1,,,,,,,
1480,Blessed Bullets Of Purity,,,8045,8045,,73,1480,1,,,1,,,,,,,
1481,Torment,,,7975,7975,,77,1481,1,,,1,,,,,,,
1482,Confess!,,,7976,7976,,39,1482,1,,,1,,,,,,,
1483,Trial By Pain,,,7967,7967,,71,1483,1,,,1,,0.5,,,,,
1484,Get Thee Behind Me!,,,7968,7968,,75,1484,1,,,1,,,,,,,
1485,Blessed Bullets Of Cleansing,,,7974,7974,,73,1485,1,,,1,,,,,,,
1486,Incognito,,,7985,7985,,32,1486,1,,,1,,,,,,,
1487,Burn Armor,,,7971,7971,,74,1487,1,,,1,,,,,,,
1488,Feinted Positioning,,new 03-26,7972,7972,,99,1488,1,,,1,,,,,,,
1489,"Burn, Heretic!",,,8046,8046,,74,1489,1,,,1,,,,,,,
1490,Declare Anathema,,,7981,7981,,34,1490,1,,,1,,,,,,,
1491,Sigil Of Sigmar,,,8011,8011,,69,1491,1,,,1,,,,,,,
1492,Sudden Accusation,,from halt to ba,7969,7969,,34,1492,1,,,1,,,,,,,
1493,Seeker's Blade,,,8053,8053,,47,1493,1,,,1,,,,,,,
1494,Fanatical Zeal,,from howl to bd,7983,7983,,35,1494,1,,,1,,,,,,,
1495,Blessed Bullets Of Confession,,,7970,7970,,73,1495,1,,,1,,,,,,,
1496,Pistol Whip,,,7984,7984,,68,1496,1,,,1,,,,,,,
1497,Sever Blessing,,,2497,2497,,47,1497,1,,,1,,,,,,,
1498,,,,,,,,1498,,,,1,,,,,,,
1499,,,,,,,,1499,,,,1,,,,,,,
1500,,,,,,,,1500,,,,1,,,,,,,
1501,,,,,,,,1501,,,,1,,,,,,,
1502,Witch Hunter Combo Point Builders,,,7964,7964,,99,1502,1,,,1,,,,,,,
;,;Witch Hunter Spec Abilities,,,,,,,;,,,,1,,,,,,,
1503,Shroud Of Magnus,,,7973,7973,,69,1503,1,,,1,,,,,,,
1504,Repel Blasphemy,,,8050,8050,,35,1504,1,,,1,,,,,,,
1505,Dragon Gun,,,8047,8047,,72,1505,1,,,1,,0.5,,,,,
1506,Seal Of Destruction,,,7978,7978,,69,1506,1,,,1,,,,,,,
1507,Punish The False,,,7977,7977,,49,1507,1,,,1,,,,,,,
1508,Exit Wound,,,7982,7982,,72,1508,1,,,1,,0.5,,,,,
1509,Van Horstmann's Speculum,,,8048,8048,,69,1509,1,,,1,,,,,,,
1510,Silence The Heretic,,,7979,7979,,68,1510,1,,,1,,,,,,,
1511,Burn Away Lies,,,8049,8049,,74,1511,1,,,1,,,,,,,
1512,,,,,,,,1512,,,,1,,,,,,,
1513,,,,,,,,1513,,,,1,,,,,,,
1514,;Witch Hunter Tactics,,,,,,,1514,,,,1,,,,,,,
1515,Inquisitor's Fury,,,22708,22708,,32,1515,1,,,0,,,,,,,
1516,Flowing Accusations,,,22710,22710,,32,1516,1,,,0,,,,,,,
1517,Righteous Steel,,,22702,22702,,32,1517,1,,,0,,,,,,,
1518,Penetrating Barbs,,,22694,22694,,32,1518,1,,,0,,,,,,,
1519,Last Rites,,,22706,22706,,32,1519,1,,,0,,,,,,,
1520,Vindication,,,22703,22703,,32,1520,1,,,0,,,,,,,
1521,"Blood, Faith, And Fire",,,22696,22696,,32,1521,1,,,0,,,,,,,
1522,Protection from Heresy,,,22709,22709,,32,1522,1,,,0,,,,,,,
1523,,,,,,,,1523,,,,1,,,,,,,
1524,,,,,,,,1524,,,,1,,,,,,,
;,;Witch Hunter Spec Tactics,,,,,,,;,,,,1,,,,,,,
1525,Seeker's Triumph,,,22701,22701,,32,1525,1,,,0,,,,,,,
1526,Sanctified Bullets,,,22706,22706,,32,1526,1,,,0,,,,,,,
1527,Sweeping Razor,,,22694,22694,,32,1527,1,,,0,,,,,,,
1528,Full Confession,,,22701,22701,,32,1528,1,,,0,,,,,,,
1529,Prolonged Confession,,,22694,22694,,32,1529,1,,,0,,,,,,,
1530,Encourage Confession,,,22704,22704,,32,1530,1,,,0,,,,,,,
1531,Fanatical Cleansing,,,22709,22709,,32,1531,1,,,0,,,,,,,
1532,Atonement,,,22708,22708,,32,1532,1,,,0,,,,,,,
1533,Vitriolic Judgement,,,22704,22704,,32,1533,1,,,0,,,,,,,
1534,,,,,,,,1534,,,,1,,,,,,,
1535,,,,,,,,1535,,,,1,,,,,,,
1536,,,,,,,,1536,,,,1,,,,,,,
1537,,,,,,,,1537,,,,1,,,,,,,
1538,,,,,,,,1538,,,,1,,,,,,,
1539,;Witch Hunter Morale,,,,,,,1539,,,,1,,,,,,,
1540,Exoneration,,,7988,7988,,69,1540,1,,,1,,,,,,,
1541,Reversal Of Fortune,,,7987,7987,,76,1541,1,,,1,1,,,,,,
1542,Witchfinder's Protection,,,7986,7986,,75,1542,1,,,1,,,,,,,
1543,,,,,,,,1543,,,,1,,,,,,,
1544,,,,,,,,1544,,,,1,,,,,,,
1545,;Witch Hunter Spec Morale,,,,,,,1545,,,,1,,,,,,,
1546,Holy Blade,,,7980,7980,,34,1546,1,,,1,,,,,,,
1547,Excommunicate,,,7978,7978,,72,1547,1,,,1,,,,,,,
1548,Expurgation,,,7989,7989,,70,1548,1,,,1,,,,,,,
1549,,,,,,,,1549,,,,1,,,,,,,
1550,,,,,,,,1550,,,,1,,,,,,,
;,;Bright Wizard Abilities,,,,,,,;,,,,1,,,,,,,
1551,Ignite,,,7913,7913,,73,1551,1,,,1,1,,,,,,
1552,Fireball,,,7933,7933,,72,1552,1,,,1,1,,,,,,
1553,Sear,,,7955,7955,,71,1553,1,,,1,1,,,,,,
1554,Flame Shield,,,7911,7911,,75,1554,1,,,1,1,,,,,,
1555,Smoke Screen,,,8013,8013,,74,1555,1,,,1,1,,,,,,
1556,Scorched Earth,,,8014,8014,,70,1556,1,,,1,1,,,,,,
1557,Flames Of Rhuin,,,7910,7910,,73,1557,1,,,1,1,,,,,,
1558,Boiling Blood,,,8015,8015,,75,1558,1,,,1,1,,,,,,
1559,Fiery Blast,,,7934,7934,,72,1559,1,,,1,1,,,,,,
1560,Cauterize,,,8016,8016,,73,1560,1,,,1,1,,,,,,
1561,Fire Cage,,,7924,7924,,74,1561,1,,,1,1,,,,,,
1562,Pyroclastic Surge,,,8017,8017,,71,1562,1,,,1,1,,,,,,
1563,Detonate,,,7902,7902,,74,1563,1,,,1,1,,,,,,
1564,Flame Breath,,,8018,8018,,69,1564,1,,,1,1,,,,,,
1565,Shield Of Aqshy,,,8012,8012,,75,1565,1,,,1,1,,,,,,
1566,Burning Iron,,,8019,8019,,70,1566,1,,,1,1,,,,,,
1567,Choking Smoke,,,8020,8020,,70,1567,1,,,1,1,,,,,,
1568,Burnout,,,7957,7957,,76,1568,1,,,1,1,,,,,,
1569,Slow Boil,,,7940,7940,,73,1569,1,,,1,1,,,,,,
1570,Rain Of Fire,,,7939,7939,,70,1570,1,,,1,1,,,,,,
1571,,,,,,,,1571,,,,1,,,,,,,
1572,Meltdown,,,4630,4630,,74,1572,1,,,1,1,,,,,,
1573,;Bright Wizard Spec Abilities,,,,,,,1573,,,,1,,,,,,,
1574,Funnel Power,,,7919,7919,,73,1574,1,,,1,1,-1,,,,,
1575,Nova,,,7936,7936,,74,1575,1,,,1,1,,,,,,
1576,Fireball Barrage,,,8021,8021,,72,1576,1,,,1,1,0.5,,,,,
1577,Playing With Fire,,,8022,8022,,75,1577,1,,,1,1,,,,,,
1578,Withering Heat,,,8023,8023,,75,1578,1,,,1,1,,,,,,
1579,"Stop, Drop, And Roll",,,8024,8024,,70,1579,1,,,1,1,,,,,,
1580,Annihilate,,,7958,7958,,76,1580,1,,,1,1,,,,,,
1581,Spreading Flames,,,7956,7956,,74,1581,1,,,1,1,,,,,,
1582,Backdraft,,,7936,7936,,74,1582,1,,,1,1,,,,,,
1583,,,,,,,,1583,,,,1,,,,,,,
1584,,,,,,,,1584,,,,1,,,,,,,
1585,,,,,,,,1585,,,,1,,,,,,,
;,;Bright Wizard Tactics,,,,,,,;,,,,1,,,,,,,
1586,Power From The Ashes,,,22708,22708,,32,1586,1,,,0,,,,,,,
1587,Lingering Fires,,,22703,22703,,32,1587,1,,,0,,,,,,,
1588,Flashfire,,,22694,22694,,32,1588,1,,,0,,,,,,,
1589,Crown Of Fire,,,22713,22713,,32,1589,1,,,0,,,,,,,
1590,Fan The Flames,,,22709,22709,,32,1590,1,,,0,,,,,,,
1591,Distracting Fires,,,22704,22704,,32,1591,1,,,0,,,,,,,
1592,Embrace The Flames,,,22703,22703,,32,1592,1,,,0,,,,,,,
1593,Fueled From Within,,,22704,22704,,32,1593,1,,,0,,,,,,,
1594,,,,,,,,1594,,,,1,,,,,,,
1595,;Bright Wizard Spec Tactics,,,,,,,1595,,,,1,,,,,,,
1596,Draining Burn,,,22708,22708,,32,1596,1,,,0,,,,,,,
1597,Searing Vitality,,,22706,22706,,32,1597,1,,,0,,,,,,,
1598,Burn Through,,,22703,22703,,32,1598,1,,,0,,,,,,,
1599,Fuel To The Fire,,,22694,22694,,32,1599,1,,,0,,,,,,,
1600,Smoldering Embers,,,22704,22704,,32,1600,1,,,0,,,,,,,
1601,Ignition,,,22704,22704,,32,1601,1,,,0,,,,,,,
