Effect,Effect,Effect,Effect,Effect,Effect,Track,Track,Track,unused,Projectile,Camera,Root,Projectile,Turn Off,Always,Draw,Realm,Persist,,,,,,,,,,
1038,vfx_DeBUFF_GEN_Spirit,977,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1039,vfx_POTION_r1_APheal_yell,978,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1040,vfx_POTION_r1_APHoT_yell,979,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1041,vfx_POTION_r1_heal_green,980,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1042,vfx_POTION_r1_HoT_green,981,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1043,vfx_POTION_r2_APheal_yell,982,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1044,vfx_POTION_r2_APHoT_yell,983,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1045,vfx_POTION_r2_heal_green,984,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1046,vfx_POTION_r2_HoT_green,985,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1047,vfx_POTION_r3_APheal_yell,986,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1048,vfx_POTION_r3_APHoT_yell,987,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1049,vfx_POTION_r3_heal_green,988,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1050,vfx_POTION_r3_HoT_green,989,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1051,AOE_HE_BombardmentFlare,990,root,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
1052,PtoP_HE_WaveyBeam,956,fx_head,0,100,1,0,0,,9,,,,,,,,,,,,,,,,,,
1053,PtoP_HE_WaveyBeam,956,fx_head,0,100,1,0,0,,10,,,,,,,,,,,,,,,,,,
1054,DE_AOE_Heal01,991,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1055,de_buff__FIG_strength,992,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1056,de_debuff__FIG_strength,993,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1057,DE_Heal_twinks,994,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1058,DE_Heal_Low,995,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1059,DE_Heal_Med,996,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1060,DE_HEAL_Regen,997,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1061,IMPACT_HE_LawofGold,998,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1062,IMPACT_HE_SearingTouch,999,fx_torso_NA,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1063,ATK_HE_FuryofAsuryan,1000,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1064,DE_DarkSwirls,1001,fx_chest,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1065,DE_IMPACT_Small,1002,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1066,DE_buildup_aoe_cast,1003,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1067,BUFF_HE_Absorbshield,1004,fx_torso_NA,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1068,Vfx_Weapontrail_disciple01,888,WT,0,100,1,0,0,,,,2,,,,,,,,,,,,,,,,
1069,Vfx_Weapontrail_disciple02,889,WT,0,100,1,0,0,,,,2,,,,,,,,,,,,,,,,
1070,cast_offhand_splash,1005,root,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
1071,PROJ_TorchTrow,1006,fx_muzzle,0,100,0,0,0,,4,,,,,,,,,,,,,,,,,,
1072,IMPACT_TorchFire,1007,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1073,HE_CAST_Buildup_Hand,1008,fx_mainhand,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1074,PROJ_SCN_BlueOrb,1009,root,0,100,1,0,0,,11,,,,,,,,,,,,,,,,,,
1075,CAST_SCN_LightFlash,1010,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1076,BUFF_WE_FADE,1011,root,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1077,BUFF_WE_SnareBreak,1012,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1078,BUFF_DE_Charm,1013,fx_head,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1079,CAST_DE_Charm,1014,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1080,impact_WitchElf_BS,1015,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1081,MEZ_Generic,1016,fx_head,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1082,Disarm_DE_fig,1017,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1083,Disarm_DE_Spark_Pa,1018,fx_mainhand,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
1084,Disarm_DE_Spark_Pb,1018,fx_offhand,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
1085,Impact_WE_Severlimb,1019,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1086,Impact_WE_Enfeeble,1020,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1087,Impact_WE_Envenomed,1021,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1088,Impact_WE_WrackingPain,1022,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1089,DeBUFF_DE_Ini_WS,1023,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1090,DeBuff_WE_Toughness,1024,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1091,Impact_WE_Puncture,1025,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1092,Impact_WE_Assault,1026,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1093,wpn_PoisonDagger_BL,821,spell,-1,100,1,1,0,,,,2,,,,,,,,,,,,,,,,
1094,wpn_PoisonDagger_WP,822,spell,-1,100,1,1,0,,,,2,,,,,,,,,,,,,,,,
1095,wpn_PoisonDagger_BP,823,spell,-1,100,1,1,0,,,,2,,,,,,,,,,,,,,,,
1096,PROC_Poison Dagger_DP,732,spell,-1,100,1,1,0,,,,2,,,,,,,,,,,,,,,,
1097,Impact_Poison_MP,1027,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1098,wpn_PoisonDagger_MP,1028,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1099,apply_poison_MP,1029,spell,0,100,1,1,0,,,,1,,,,,,,,,,,,,,,,
1100,DE_AOE_UmbralStrikes,1030,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1101,DE_ATK_DarkColumn,1031,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1102,DE_BUFF_ShardShield,1032,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1103,DE_BUILD_CastingHand,1033,fx_mainhand,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1104,DE_BUILD_CastingRing,1034,root,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1105,DE_IMPACT_ShardShield1,1035,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1106,DE_PROJ_DoomBolt,1036,fx_mainhand,0,100,0,0,0,,11,,,,,,,,,,,,,,,,,,
1107,DE_DEBUFF_DarkSpirits,1037,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1108,DE_AOE_ShardShield,1038,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1109,DeBUFF_Tactic_AP,1039,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1110,Buff_WE_Strength,1040,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1111,Cast_WE_base,1041,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1112,SunFireBreath_Buildup,1042,fx_mouth,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1113,CONE_SunFireBreath,1043,fx_mouth,-1,100,1,1,0,,,,,,,,,,,,,,,,,,,,
1114,IMPACT_SunFireExplo,1044,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1115,PROJ_SunDrag_Fireball,1045,fx_mouth,0,100,0,0,0,,11,,,,,,,,,,,,,,,,,,
1116,SunFireBreath_Linger,1046,fx_mouth,-1,100,0,0,0,,,,,,,,,,,,,,,,,,,,
1117,SunDrag_Claw,1047,root,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
1118,SunDrag_Stomp,1048,root,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
1119,ROOT_IceBlockDark,1049,root,-1,100,1,0,1,,,,,,,,,,,,,,,,,,,,
1120,DE_CAST_Activate,1050,spell,0,100,1,0,0,,,,2,,,,,,,,,,,,,,,,
1121,AOE_WE_BladeSpin,1051,root,0,100,1,0,1,,,,,,,,,,,,,,,,,,,,
1122,Stage_Complete,1052,fx_Head_top_NA,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
1123,DE_ATK_Chillwind,1053,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1124,DE_Cast_Chillwind,1054,fx_mainhand,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1125,SunDrag_Bite,1055,fx_muzzle,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1126,IMPACT_SunDrag_Bite,1056,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1127,PROJ_SunDrag_FireballSml,1057,fx_muzzle,0,100,0,0,0,,11,,,,,,,,,,,,,,,,,,
1128,CAST_SunFire,1058,fx_muzzle,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1129,IMPACT_SunFireSml,1059,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1130,IMPACT_HE_WordofPain,1060,fx_head,0,100,1,1,0,,,,,,,,,,,,,,,,,,,,
1131,ATK_HE_WordofPain,1061,fx_head,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1132,IMPACT_SunDrag_Claw,1062,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1133,DE_Cast_WordofPain,1063,fx_mainhand,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1134,DE_DEBUFF_TormentVision,1064,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1135,BlackFire_Buildup,1065,fx_muzzle,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1136,CAST_BlackFire,1066,fx_muzzle,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1137,IMPACT_BlackFireExplo,1067,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1138,IMPACT_BlackFireSml,1068,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1139,PROJ_BlackDrag_Fireball,1069,fx_muzzle,0,100,0,0,0,,11,,,,,,,,,,,,,,,,,,
1140,PROJ_SunDrag_Blackball_Sml,1070,fx_muzzle,0,100,0,0,0,,11,,,,,,,,,,,,,,,,,,
1141,CONE_BlackFireBreath,1071,fx_mouth,-1,100,1,1,0,,,,,,,,,,,,,,,,,,,,
1142,BlackFireBreath_Linger,1072,fx_muzzle,-1,100,0,0,0,,,,,,,,,,,,,,,,,,,,
1143,atk_mek_Dbthrower_Un01,1073,fx_muzzle,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1144,Impact_mek_Dbthrower_Un01,1074,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1145,atk_mek_Hbthrower_Un01,1075,fx_muzzle,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1146,Impact_mek_Hbthrower_Un01,1076,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1147,DE_IMPACT_ShatteredShadows,1077,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1148,DE_DBUF_Focus,1078,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1149,DE_CAST_Focus,1079,fx_head,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1150,DE_IMPACT_Miscast,1080,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1151,DE_IMPACT_SearingPain,1081,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1152,DE_LOOP_ShadowKnives,1082,root,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1153,DE_PtoP_SurgingPain,1083,fx_mainhand,0,100,1,0,0,,11,,,,,,,,,,,,,,,,,,
1154,BUFF_FADE_ShadowFade,1084,root,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1155,LOOP_Lightrays,1085,spell,-1,100,1,0,0,,,,2,,,,,,,,,,,,,,,,
1156,SCN_ObjectiveLight_short,1086,spell,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1157,DE_AOE_SurgingPain,1087,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1158,Impact_mek_Dbthrower_ground01,1088,root,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
1159,Impact_mek_Dbthrower_gmulti01,1089,root,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
1160,DEBUF_FIG_StrickenLimbs,1090,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1161,FIG_GHOST_generic,1091,fx_torso_NA,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1162,FIG_GHOST_Banshee,1092,fx_torso_NA,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1163,FIG_GHOST_SpiritHost,1093,fx_torso_NA,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1164,FIG_GHOST_Wraith,1094,fx_torso_NA,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1165,DE_ATK_CrystalSpikes,1095,root,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
1166,DE_LOOP_ChanneledAPRecover,1096,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1167,PROJ_mek_Dbthrower01,1097,fx_muzzle,0,100,0,0,0,,11,,,,,,,,,,,,,,,,,,
1168,Impact_Shield_Spell,1098,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1169,BUFF_Shield_Spell,1099,root,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
1170,IMPACT_DE_Vital,1100,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1171,PROJ_DE_VitalOrb01,1101,fx_torso_NA,0,100,1,0,0,,13,,,,,,,,,,,,,,,,,,
1172,BUFF_FIG_Vital,1102,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1173,PROJ_DE_VitalOrb02,1101,fx_torso_NA,0,100,1,0,0,,14,,,,,,,,,,,,,,,,,,
1174,DE_DEBUFF_StrickenVoices,1103,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1175,DE_CONE_Infernalwave,1104,root,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
1176,DE_CAST_Activate_Whisps,1105,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1177,DE_AOE_Crystalshardsshatter,1106,root,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
1178,PROJ_DE_GloomNi,1107,fx_mainhand,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
1179,IMPACT_DE_GloomNi,1108,root,-1,100,0,0,0,,,,,,,,,,,,,,,,,,,,
1180,BUILD_DE_GloomNi,1109,fx_mainhand,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1181,PROP_HE_BaseArrow01,1110,fx_mainhand,-1,100,1,1,0,,,,,,,,,,,,,,,,,,,,
1182,DE_PROJ_DoomBolt_Large,1111,fx_mainhand,0,100,0,1,0,,11,,,,,,,,,,,,,,,,,,
1183,DE_DEBUFF_Cataclysmic Darkness,1112,root,0,100,1,1,0,,,,,,,,,,,,,,,,,,,,
1184,DE_DBUF_ImpendingDoom,1113,root,0,100,1,1,0,,,,,,,,,,,,,,,,,,,,
1185,IMPACT_DE_HandofRuin,1114,fx_torso_NA,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1186,PtoP_DE_HandofRuin,1115,fx_mainhand,-1,100,1,0,0,,11,,1,1,,,,,,,,,,,,,,,
1187,DE_DEBUFF_Blackhorror,1116,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1188,DE_AOE_BlackHorror,1117,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1189,Build_HE_FestArrow01,1118,fx_mainhand,-1,100,1,1,0,,,,,,,,,,,,,,,,,,,,
1190,Build_HE_AcidArrow01,1119,fx_mainhand,-1,100,1,1,0,,,,,,,,,,,,,,,,,,,,
1191,Build_HE_ShadowArrow01,1120,fx_mainhand,-1,100,1,1,0,,,,,,,,,,,,,,,,,,,,
1192,Build_HE_FlameArrow01,1121,fx_mainhand,-1,100,1,1,0,,,,,,,,,,,,,,,,,,,,
1193,Build_HE_SpiralArrow01,1122,fx_mainhand,-1,100,1,1,0,,,,,,,,,,,,,,,,,,,,
1194,Build_HE_DistractArrow01,1123,fx_mainhand,-1,100,1,1,0,,,,,,,,,,,,,,,,,,,,
1195,PROJ_HE_BaseArrow01_straight,1124,fx_muzzle,0,100,0,0,0,,11,,,,,,,,,,,,,,,,,,
1196,PROJ_HE_BaseArrow02_Lob,1124,fx_muzzle,0,100,0,0,0,,2,,,,,,,,,,,,,,,,,,
1197,PROJ_HE_BaseArrow03_HighLob,1124,fx_muzzle,0,100,0,0,0,,4,,,,,,,,,,,,,,,,,,
1198,PROJ_HE_DistractArrow01,1125,fx_muzzle,0,100,0,0,0,,11,,,,,,,,,,,,,,,,,,
1199,PROJ_HE_AcidArrow01,1126,fx_muzzle,0,100,0,0,0,,4,,,,,,,,,,,,,,,,,,
1200,PROJ_HE_ShadowArrow01,1127,fx_muzzle,0,100,0,0,0,,11,,,,,,,,,,,,,,,,,,
1201,PROJ_HE_SpiralArrow01,1128,fx_muzzle,0,100,0,0,0,,2,,,,,,,,,,,,,,,,,,
1202,PROJ_HE_FestArrow01,1129,fx_muzzle,0,100,0,0,0,,4,,,,,,,,,,,,,,,,,,
1203,PROJ_HE_FlameArrow01,1130,fx_muzzle,0,100,0,0,0,,4,,,,,,,,,,,,,,,,,,
1204,PROJ_HE_BaseArrow01_Headshot,1124,fx_muzzle,0,100,0,0,0,,15,,,,,,,,,,,,,,,,,,
1205,PROJ_HE_BaseArrow01_Neckshot,1124,fx_muzzle,0,100,0,0,0,,16,,,,,,,,,,,,,,,,,,
1206,AoE_RvR_BlastWaveReset,1131,root,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
1207,BUFF_HE_ScoutStance,1132,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1208,BUFF_HE_AssaultStance,1133,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1209,BUFF_HE_SkirmishStance,1134,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1210,CAST_HE_ActivateEffect,1135,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1211,Impact_HE_FestArrow01,1136,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1212,Impact_HE_SpiralArrow01,1137,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1213,Impact_HE_AcidArrow01,1138,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1214,BUFF_HE_Vengence,1139,fx_ground,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1215,AoE_HE_WhirlwindPinSwipe,1140,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1216,ROOT_HE_WhirlwindPin,1141,root,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1217,Build_HE_FellArrow01,1142,fx_mainhand,-1,100,0,1,0,,,,,,,,,,,,,,,,,,,,
1218,PROJ_HE_FellArrow01,1143,fx_muzzle,0,100,0,0,0,,4,,,,,,,,,,,,,,,,,,
1219,Build_HE_GlassArrow01,1144,fx_mainhand,-1,100,1,1,0,,,,,,,,,,,,,,,,,,,,
1220,PROJ_HE_GlassArrow01,1145,fx_muzzle,0,100,0,0,0,,4,,,,,,,,,,,,,,,,,,
1221,IMPACT_Head,464,fx_head,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1222,vfx_Impact_HE_Throatshot,1182,fx_head,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1223,DeBuff_HE_WeaponSkill,1146,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1224,DeBuff_HE_Init,1147,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1225,Build_HE_FlankArrow01,1148,fx_mainhand,-1,100,1,1,0,,,,,,,,,,,,,,,,,,,,
1226,PROJ_HE_FlankArrow01,1149,fx_muzzle,0,100,0,0,0,,4,,,,,,,,,,,,,,,,,,
1227,Build_HE_BarrageArrow01,1150,fx_mainhand,-1,100,1,1,0,,,,,,,,,,,,,,,,,,,,
1228,PROJ_HE_BarrageArrow01,1151,fx_muzzle,0,100,0,0,1,,4,,,,,,,,,,,,,,,,,,
1229,AOE_HE_GlassArrow01,1152,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1230,Impact_HE_GlassArrow01_small,1153,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1231,Impact_HE_GlassArrow01,1154,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1232,Impact_HE_BarrageArrow01,1155,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1233,Impact_HE_FlankArrow01,1156,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1234,Impact_HE_DistractArrow01,1157,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1235,Impact_HE_ShadowArrow01,1158,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1236,ATK_BurnSwirl,1159,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1237,LOOP_Burn_Status,1160,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1238,LOOP_Smolder,1161,fx_torso_NA,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1239,vfx_ATK_BoilBlood,1162,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1240,vfx_DoT_LOOP_BoilBlood,1163,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1241,IMPACT_HE_SwiftStrkP1,1164,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1242,IMPACT_HE_SwiftStrkP2,1165,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1243,IMPACT_HE_OppStrike,1166,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1244,IMPACT_HE_GrimSlash,1167,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1245,IMPACT_HE_DrawBlood,1168,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1246,IMPACT_HE_BrutalAssault,1169,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1247,IMPACT_Bleed,1170,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1248,HE_CounterStrike,1171,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1249,DISARM_HE_OppStrike,1172,fx_mainhand,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1250,DISARM_HE_OppStrike,1172,fx_offhand,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1251,vfx_WeaponTrail_HE_GrimSlsh,1173,WT,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1252,vfx_WeaponTrail_HE_DrawBlood,1174,WT,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1253,vfx_WeaponTrail_HE_OppStrike,1175,WT,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1254,vfx_WeaponTrail_HE_SwftStrkP1,1176,WT,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1255,vfx_WeaponTrail_HE_SwftStrkP2,1177,WT,0,100,1,0,0,,,,2,,,,,,,,,,,,,,,,
1256,BUFF_FADE_Smokescreen,1178,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1257,PROJ_EM_FireballSmall,1179,fx_mainhand,0,100,0,0,0,,11,,,,,,,,,,,,,,,,,,
1258,ATK_EM_SearPillar,1180,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1259,SCN_ObjectiveLight_NOKFM,1181,root,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1260,IMPACT_Orange Knockdown,466,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1261,vfx_PROJ_HE_LileathArrow,1183,root,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
1262,vfx_Impact_FIG_FellArrow01,1184,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1263,vfx_Impact_HE_FellArrow01,1185,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1264,PROJ_HE_BaseArrow02_Lob_foot shot,1124,fx_muzzle,0,100,0,0,0,,17,,,,,,,,,,,,,,,,,,
1265,CONE_HE_SweepStrike ,1186,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1266,IMPACT_HE_ExploitWeakness,1187,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1267,HE_ExploitWeakness,1188,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1268,vfx_WeaponTrail_HE_BrutalAssault,1189,WT,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1269,vfx_WeaponTrail_HE_ExploitWeakness,1190,WT,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1270,AOE_EM_ScorchEarth,1191,root,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,
1271,Debuff_Chicken,1192,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1272,ROOT_EM_FireCage,1193,root,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1273,ATK_EM_IgniteKey,1194,fx_torso_NA,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1274,buff_Mutation_Quick,1195,Bip01 L UpperArm,0,100,1,1,0,,,,,,,,,,,,,,,,,,,,
1275,buff_Mutation_Quick,1195,Bip01 L Forearm,0,100,1,1,0,,,,,,,,,,,,,,,,,,,,
1276,buff_Mutation_Quick,1195,Bip01 L Hand,0,100,1,1,0,,,,,,,,,,,,,,,,,,,,
1277,BUILD_EM_BWCastingRing,1196,root,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1278,BUFF_EM_Favorablewind,1197,root,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,
1279,LOOP_Burn_Status_Blue,1198,fx_torso_NA,-1,100,1,0,0,,,,,,,,,,,,,,,,,,,,
